to_core,from_core,from_factor,description
CV,CV,1,to_core = to_core + from_core * from_factor
SUT,SUT,1,This table takes the output from directionality and
MUT,MUT,1,creates the matrix used in assignment.
IEEI,IEEI,1,CREATION: this file created manually - not rmarkdown
NHBNR,NHBNR_all,1,
res_da,HBW_v0_da,1,
res_sr2,HBW_v0_sr2,1,
res_sr3,HBW_v0_sr3,1,
res_da,HBW_ilvi_da,1,
res_sr2,HBW_ilvi_sr2,1,
res_sr3,HBW_ilvi_sr3,1,
res_da,HBW_ilvs_da,1,
res_sr2,HBW_ilvs_sr2,1,
res_sr3,HBW_ilvs_sr3,1,
res_da,HBW_ihvi_da,1,
res_sr2,HBW_ihvi_sr2,1,
res_sr3,HBW_ihvi_sr3,1,
res_da,HBW_ihvs_da,1,
res_sr2,HBW_ihvs_sr2,1,
res_sr3,HBW_ihvs_sr3,1,
res_da,HBO_v0_da,1,
res_sr2,HBO_v0_sr2,1,
res_sr3,HBO_v0_sr3,1,
res_da,HBO_ilvi_da,1,
res_sr2,HBO_ilvi_sr2,1,
res_sr3,HBO_ilvi_sr3,1,
res_da,HBO_ilvs_da,1,
res_sr2,HBO_ilvs_sr2,1,
res_sr3,HBO_ilvs_sr3,1,
res_da,HBO_ihvi_da,1,
res_sr2,HBO_ihvi_sr2,1,
res_sr3,HBO_ihvi_sr3,1,
res_da,HBO_ihvs_da,1,
res_sr2,HBO_ihvs_sr2,1,
res_sr3,HBO_ihvs_sr3,1,
res_da,HBSC_all_da,1,
res_sr2,HBSC_all_sr2,1,
res_sr3,HBSC_all_sr3,1,
res_da,NHB_all_da,1,
res_sr2,NHB_all_sr2,1,
res_sr3,NHB_all_sr3,1,
res_da,HBU_all_da,1,
res_sr2,HBU_all_sr2,1,
res_sr3,HBU_all_sr3,1,
res_da,sHBW_all_da,1,
res_sr2,sHBW_all_sr2,1,
res_sr3,sHBW_all_sr3,1,
res_da,sHBO_all_da,1,
res_sr2,sHBO_all_sr2,1,
res_sr3,sHBO_all_sr3,1,
res_da,sNHB_all_da,1,
res_sr2,sNHB_all_sr2,1,
res_sr3,sNHB_all_sr3,1,
EE,EE,1,
