to_core,from_core,from_factor,description
w_lb,HBW_v0_w_lb,1,to_core = to_core + from_core * from_factor
w_eb,HBW_v0_w_eb,1,This table collapses the various transit cores into matrices for assignment
pnr_lb,HBW_v0_pnr_lb,1,
pnr_eb,HBW_v0_pnr_eb,1,Creation: created manually
knr_lb,HBW_v0_knr_lb,1,
knr_eb,HBW_v0_knr_eb,1,
w_lb,HBW_ilvi_w_lb,1,
w_eb,HBW_ilvi_w_eb,1,
pnr_lb,HBW_ilvi_pnr_lb,1,
pnr_eb,HBW_ilvi_pnr_eb,1,
knr_lb,HBW_ilvi_knr_lb,1,
knr_eb,HBW_ilvi_knr_eb,1,
w_lb,HBW_ilvs_w_lb,1,
w_eb,HBW_ilvs_w_eb,1,
pnr_lb,HBW_ilvs_pnr_lb,1,
pnr_eb,HBW_ilvs_pnr_eb,1,
knr_lb,HBW_ilvs_knr_lb,1,
knr_eb,HBW_ilvs_knr_eb,1,
w_lb,HBW_ihvi_w_lb,1,
w_eb,HBW_ihvi_w_eb,1,
pnr_lb,HBW_ihvi_pnr_lb,1,
pnr_eb,HBW_ihvi_pnr_eb,1,
knr_lb,HBW_ihvi_knr_lb,1,
knr_eb,HBW_ihvi_knr_eb,1,
w_lb,HBW_ihvs_w_lb,1,
w_eb,HBW_ihvs_w_eb,1,
pnr_lb,HBW_ihvs_pnr_lb,1,
pnr_eb,HBW_ihvs_pnr_eb,1,
knr_lb,HBW_ihvs_knr_lb,1,
knr_eb,HBW_ihvs_knr_eb,1,
w_lb,HBO_v0_w_lb,1,
w_eb,HBO_v0_w_eb,1,
pnr_lb,HBO_v0_pnr_lb,1,
pnr_eb,HBO_v0_pnr_eb,1,
knr_lb,HBO_v0_knr_lb,1,
knr_eb,HBO_v0_knr_eb,1,
w_lb,HBO_ilvi_w_lb,1,
w_eb,HBO_ilvi_w_eb,1,
pnr_lb,HBO_ilvi_pnr_lb,1,
pnr_eb,HBO_ilvi_pnr_eb,1,
knr_lb,HBO_ilvi_knr_lb,1,
knr_eb,HBO_ilvi_knr_eb,1,
w_lb,HBO_ilvs_w_lb,1,
w_eb,HBO_ilvs_w_eb,1,
pnr_lb,HBO_ilvs_pnr_lb,1,
pnr_eb,HBO_ilvs_pnr_eb,1,
knr_lb,HBO_ilvs_knr_lb,1,
knr_eb,HBO_ilvs_knr_eb,1,
w_lb,HBO_ihvi_w_lb,1,
w_eb,HBO_ihvi_w_eb,1,
pnr_lb,HBO_ihvi_pnr_lb,1,
pnr_eb,HBO_ihvi_pnr_eb,1,
knr_lb,HBO_ihvi_knr_lb,1,
knr_eb,HBO_ihvi_knr_eb,1,
w_lb,HBO_ihvs_w_lb,1,
w_eb,HBO_ihvs_w_eb,1,
pnr_lb,HBO_ihvs_pnr_lb,1,
pnr_eb,HBO_ihvs_pnr_eb,1,
knr_lb,HBO_ihvs_knr_lb,1,
knr_eb,HBO_ihvs_knr_eb,1,
w_lb,HBSC_all_w_lb,1,
w_eb,HBSC_all_w_eb,1,
pnr_lb,HBSC_all_pnr_lb,1,
pnr_eb,HBSC_all_pnr_eb,1,
knr_lb,HBSC_all_knr_lb,1,
knr_eb,HBSC_all_knr_eb,1,
w_lb,NHB_all_w_lb,1,
w_eb,NHB_all_w_eb,1,
pnr_lb,NHB_all_pnr_lb,1,
pnr_eb,NHB_all_pnr_eb,1,
knr_lb,NHB_all_knr_lb,1,
knr_eb,NHB_all_knr_eb,1,
w_lb,HBU_all_w_lb,1,
w_eb,HBU_all_w_eb,1,
pnr_lb,HBU_all_pnr_lb,1,
pnr_eb,HBU_all_pnr_eb,1,
knr_lb,HBU_all_knr_lb,1,
knr_eb,HBU_all_knr_eb,1,
w_cr,HBW_v0_w_cr,1,
pnr_cr,HBW_v0_pnr_cr,1,
