Purpose,Period,Value,Description
HBW,AM,0.995,Percent of trips in PA direction by purpose and tod
HBW,MD,0.47,CREATION: this file created by rmarkdown
HBW,PM,0.069,
HBW,NT,0.621,
HBO,AM,0.752,
HBO,MD,0.54,
HBO,PM,0.445,
HBO,NT,0.424,
HBSC,AM,1,
HBSC,MD,0.242,
HBSC,PM,0.299,
HBSC,NT,0.638,
NHB,AM,0.5,
NHB,MD,0.5,
NHB,PM,0.5,
NHB,NT,0.5,
NHBNR,AM,0.5,
NHBNR,MD,0.5,
NHBNR,PM,0.5,
NHBNR,NT,0.5,
CV,AM,0.5,
CV,MD,0.5,
CV,PM,0.5,
CV,NT,0.5,
SUT,AM,0.5,
SUT,MD,0.5,
SUT,PM,0.5,
SUT,NT,0.5,
MUT,AM,0.5,
MUT,MD,0.5,
MUT,PM,0.5,
MUT,NT,0.5,
IEEI,AM,0.5,
IEEI,MD,0.5,
IEEI,PM,0.5,
IEEI,NT,0.5,
sHBO,AM,0.665,
sHBO,MD,0.452,
sHBO,NT,0.407,
sHBO,PM,0.619,
HBU,AM,0.952,
HBU,MD,0.643,
HBU,NT,0.388,
HBU,PM,0.314,
sHBW,AM,0.892,
sHBW,MD,0.649,
sHBW,NT,0.351,
sHBW,PM,0.092,
sNHB,AM,0.5,
sNHB,MD,0.5,
sNHB,NT,0.5,
sNHB,PM,0.5,
