to_core,from_core,from_factor,description
CV,CV,1,to_core = to_core + from_core * from_factor
SUT,SUT,1,This table is used to create a matrix of
MUT,MUT,1,hwy trips from the mc matrix.
IEEI,IEEI,1,CREATION: this file created manually - not rmarkdown
NHBNR_all,NHBNR_all,1,
HBW_v0_da,HBW_v0_da,1,
HBW_v0_sr2,HBW_v0_sr2,1,
HBW_v0_sr3,HBW_v0_sr3,1,
HBW_ilvi_da,HBW_ilvi_da,1,
HBW_ilvi_sr2,HBW_ilvi_sr2,1,
HBW_ilvi_sr3,HBW_ilvi_sr3,1,
HBW_ilvs_da,HBW_ilvs_da,1,
HBW_ilvs_sr2,HBW_ilvs_sr2,1,
HBW_ilvs_sr3,HBW_ilvs_sr3,1,
HBW_ihvi_da,HBW_ihvi_da,1,
HBW_ihvi_sr2,HBW_ihvi_sr2,1,
HBW_ihvi_sr3,HBW_ihvi_sr3,1,
HBW_ihvs_da,HBW_ihvs_da,1,
HBW_ihvs_sr2,HBW_ihvs_sr2,1,
HBW_ihvs_sr3,HBW_ihvs_sr3,1,
HBO_v0_da,HBO_v0_da,1,
HBO_v0_sr2,HBO_v0_sr2,1,
HBO_v0_sr3,HBO_v0_sr3,1,
HBO_ilvi_da,HBO_ilvi_da,1,
HBO_ilvi_sr2,HBO_ilvi_sr2,1,
HBO_ilvi_sr3,HBO_ilvi_sr3,1,
HBO_ilvs_da,HBO_ilvs_da,1,
HBO_ilvs_sr2,HBO_ilvs_sr2,1,
HBO_ilvs_sr3,HBO_ilvs_sr3,1,
HBO_ihvi_da,HBO_ihvi_da,1,
HBO_ihvi_sr2,HBO_ihvi_sr2,1,
HBO_ihvi_sr3,HBO_ihvi_sr3,1,
HBO_ihvs_da,HBO_ihvs_da,1,
HBO_ihvs_sr2,HBO_ihvs_sr2,1,
HBO_ihvs_sr3,HBO_ihvs_sr3,1,
HBSC_all_da,HBSC_all_da,1,
HBSC_all_sr2,HBSC_all_sr2,1,
HBSC_all_sr3,HBSC_all_sr3,1,
NHB_all_da,NHB_all_da,1,
NHB_all_sr2,NHB_all_sr2,1,
NHB_all_sr3,NHB_all_sr3,1,
HBU_all_da,HBUV_all_da,1,
HBU_all_da,HBUR_all_da,1,
HBU_all_sr2,HBUV_all_sr2,1,
HBU_all_sr2,HBUR_all_sr2,1,
HBU_all_sr3,HBUV_all_sr3,1,
HBU_all_sr3,HBUR_all_sr3,1,
sHBW_all_da,sHBW_all_da,1,
sHBW_all_sr2,sHBW_all_sr2,1,
sHBW_all_sr3,sHBW_all_sr3,1,
sHBO_all_da,sHBO_all_da,1,
sHBO_all_sr2,sHBO_all_sr2,1,
sHBO_all_sr3,sHBO_all_sr3,1,
sNHB_all_da,sNHB_all_da,1,
sNHB_all_sr2,sNHB_all_sr2,1,
sNHB_all_sr3,sNHB_all_sr3,1,
