to_core,from_core,from_factor,description
HBW_v0_walk,HBW_v0_walk,1,to_core = to_core + from_core * from_factor
HBW_v0_bike,HBW_v0_bike,1,This table is used to create a matrix of
HBW_ilvi_walk,HBW_ilvi_walk,1,non-motorized trips from the mc matrix.
HBW_ilvi_bike,HBW_ilvi_bike,1,CREATION: this file created manually - not rmarkdown
HBW_ilvs_walk,HBW_ilvs_walk,1,
HBW_ilvs_bike,HBW_ilvs_bike,1,
HBW_ihvi_walk,HBW_ihvi_walk,1,
HBW_ihvi_bike,HBW_ihvi_bike,1,
HBW_ihvs_walk,HBW_ihvs_walk,1,
HBW_ihvs_bike,HBW_ihvs_bike,1,
HBO_v0_walk,HBO_v0_walk,1,
HBO_v0_bike,HBO_v0_bike,1,
HBO_ilvi_walk,HBO_ilvi_walk,1,
HBO_ilvi_bike,HBO_ilvi_bike,1,
HBO_ilvs_walk,HBO_ilvs_walk,1,
HBO_ilvs_bike,HBO_ilvs_bike,1,
HBO_ihvi_walk,HBO_ihvi_walk,1,
HBO_ihvi_bike,HBO_ihvi_bike,1,
HBO_ihvs_walk,HBO_ihvs_walk,1,
HBO_ihvs_bike,HBO_ihvs_bike,1,
HBSC_all_walk,HBSC_all_walk,1,
HBSC_all_bike,HBSC_all_bike,1,
NHB_all_walk,NHB_all_walk,1,
NHB_all_bike,NHB_all_bike,1,
HBU_all_walk,HBUV_all_walk,1,
HBU_all_bike,HBUV_all_bike,1,
HBU_all_walk,HBUR_all_walk,1,
HBU_all_bike,HBUR_all_bike,1,
sHBW_all_walk,sHBW_all_walk,1,
sHBW_all_bike,sHBW_all_bike,1,
sHBO_all_walk,sHBO_all_walk,1,
sHBO_all_bike,sHBO_all_bike,1,
sNHB_all_walk,sNHB_all_walk,1,
sNHB_all_bike,sNHB_all_bike,1,
