to_core,from_core,from_factor,description
HBW_v0_w_lb,HBW_v0_w_lb,1,to_core = to_core + from_core * from_factor
HBW_v0_w_eb,HBW_v0_w_eb,1,This table is used to create a matrix of
HBW_v0_w_cr,HBW_v0_w_cr,1,transit trips from the mc matrix.
HBW_v0_pnr_lb,HBW_v0_pnr_lb,1,CREATION: this file created manually - not rmarkdown
HBW_v0_pnr_eb,HBW_v0_pnr_eb,1,
HBW_v0_pnr_cr,HBW_v0_pnr_cr,1,
HBW_v0_knr_lb,HBW_v0_knr_lb,1,
HBW_v0_knr_eb,HBW_v0_knr_eb,1,
HBW_v0_knr_cr,HBW_v0_knr_cr,1,
HBW_ilvi_w_lb,HBW_ilvi_w_lb,1,
HBW_ilvi_w_eb,HBW_ilvi_w_eb,1,
HBW_ilvi_w_cr,HBW_ilvi_w_cr,1,
HBW_ilvi_pnr_lb,HBW_ilvi_pnr_lb,1,
HBW_ilvi_pnr_eb,HBW_ilvi_pnr_eb,1,
HBW_ilvi_pnr_cr,HBW_ilvi_pnr_cr,1,
HBW_ilvi_knr_lb,HBW_ilvi_knr_lb,1,
HBW_ilvi_knr_eb,HBW_ilvi_knr_eb,1,
HBW_ilvi_knr_cr,HBW_ilvi_knr_cr,1,
HBW_ilvs_w_lb,HBW_ilvs_w_lb,1,
HBW_ilvs_w_eb,HBW_ilvs_w_eb,1,
HBW_ilvs_w_cr,HBW_ilvs_w_cr,1,
HBW_ilvs_pnr_lb,HBW_ilvs_pnr_lb,1,
HBW_ilvs_pnr_eb,HBW_ilvs_pnr_eb,1,
HBW_ilvs_pnr_cr,HBW_ilvs_pnr_cr,1,
HBW_ilvs_knr_lb,HBW_ilvs_knr_lb,1,
HBW_ilvs_knr_eb,HBW_ilvs_knr_eb,1,
HBW_ilvs_knr_cr,HBW_ilvs_knr_cr,1,
HBW_ihvi_w_lb,HBW_ihvi_w_lb,1,
HBW_ihvi_w_eb,HBW_ihvi_w_eb,1,
HBW_ihvi_w_cr,HBW_ihvi_w_cr,1,
HBW_ihvi_pnr_lb,HBW_ihvi_pnr_lb,1,
HBW_ihvi_pnr_eb,HBW_ihvi_pnr_eb,1,
HBW_ihvi_pnr_cr,HBW_ihvi_pnr_cr,1,
HBW_ihvi_knr_lb,HBW_ihvi_knr_lb,1,
HBW_ihvi_knr_eb,HBW_ihvi_knr_eb,1,
HBW_ihvi_knr_cr,HBW_ihvi_knr_cr,1,
HBW_ihvs_w_lb,HBW_ihvs_w_lb,1,
HBW_ihvs_w_eb,HBW_ihvs_w_eb,1,
HBW_ihvs_w_cr,HBW_ihvs_w_cr,1,
HBW_ihvs_pnr_lb,HBW_ihvs_pnr_lb,1,
HBW_ihvs_pnr_eb,HBW_ihvs_pnr_eb,1,
HBW_ihvs_pnr_cr,HBW_ihvs_pnr_cr,1,
HBW_ihvs_knr_lb,HBW_ihvs_knr_lb,1,
HBW_ihvs_knr_eb,HBW_ihvs_knr_eb,1,
HBW_ihvs_knr_cr,HBW_ihvs_knr_cr,1,
HBO_v0_w_lb,HBO_v0_w_lb,1,
HBO_v0_w_eb,HBO_v0_w_eb,1,
HBO_v0_w_cr,HBO_v0_w_cr,1,
HBO_v0_pnr_lb,HBO_v0_pnr_lb,1,
HBO_v0_pnr_eb,HBO_v0_pnr_eb,1,
HBO_v0_pnr_cr,HBO_v0_pnr_cr,1,
HBO_v0_knr_lb,HBO_v0_knr_lb,1,
HBO_v0_knr_eb,HBO_v0_knr_eb,1,
HBO_v0_knr_cr,HBO_v0_knr_cr,1,
HBO_ilvi_w_lb,HBO_ilvi_w_lb,1,
HBO_ilvi_w_eb,HBO_ilvi_w_eb,1,
HBO_ilvi_w_cr,HBO_ilvi_w_cr,1,
HBO_ilvi_pnr_lb,HBO_ilvi_pnr_lb,1,
HBO_ilvi_pnr_eb,HBO_ilvi_pnr_eb,1,
HBO_ilvi_pnr_cr,HBO_ilvi_pnr_cr,1,
HBO_ilvi_knr_lb,HBO_ilvi_knr_lb,1,
HBO_ilvi_knr_eb,HBO_ilvi_knr_eb,1,
