Purpose,Segment,Mode,Period,Value,Description
HBW,ihvi,da,AM,1,Vehicle occupancy rates (per/veh)
HBW,ihvi,da,MD,1,CREATION: this file created by TimeOfDay.Rmd and University.Rmd
HBW,ihvi,da,PM,1,
HBW,ihvi,da,NT,1,
HBW,ihvi,sr2,AM,2,
HBW,ihvi,sr2,MD,2,
HBW,ihvi,sr2,PM,2,
HBW,ihvi,sr2,NT,2,
HBW,ihvi,sr3,AM,3.319,
HBW,ihvi,sr3,MD,3.208,
HBW,ihvi,sr3,PM,3.727,
HBW,ihvi,sr3,NT,3.1,
HBW,ihvs,da,AM,1,
HBW,ihvs,da,MD,1,
HBW,ihvs,da,PM,1,
HBW,ihvs,da,NT,1,
HBW,ihvs,sr2,AM,2,
HBW,ihvs,sr2,MD,2,
HBW,ihvs,sr2,PM,2,
HBW,ihvs,sr2,NT,2,
HBW,ihvs,sr3,AM,3.319,
HBW,ihvs,sr3,MD,3.208,
HBW,ihvs,sr3,PM,3.727,
HBW,ihvs,sr3,NT,3.1,
HBW,ilvi,da,AM,1,
HBW,ilvi,da,MD,1,
HBW,ilvi,da,PM,1,
HBW,ilvi,da,NT,1,
HBW,ilvi,sr2,AM,2,
HBW,ilvi,sr2,MD,2,
HBW,ilvi,sr2,PM,2,
HBW,ilvi,sr2,NT,2,
HBW,ilvi,sr3,AM,3.319,
HBW,ilvi,sr3,MD,3.208,
HBW,ilvi,sr3,PM,3.727,
HBW,ilvi,sr3,NT,3.1,
HBW,ilvs,da,AM,1,
HBW,ilvs,da,MD,1,
HBW,ilvs,da,PM,1,
HBW,ilvs,da,NT,1,
HBW,ilvs,sr2,AM,2,
HBW,ilvs,sr2,MD,2,
HBW,ilvs,sr2,PM,2,
HBW,ilvs,sr2,NT,2,
HBW,ilvs,sr3,AM,3.319,
HBW,ilvs,sr3,MD,3.208,
HBW,ilvs,sr3,PM,3.727,
HBW,ilvs,sr3,NT,3.1,
HBW,v0,da,AM,1,
HBW,v0,da,MD,1,
HBW,v0,da,PM,1,
HBW,v0,da,NT,1,
HBW,v0,sr2,AM,2,
HBW,v0,sr2,MD,2,
HBW,v0,sr2,PM,2,
HBW,v0,sr2,NT,2,
HBW,v0,sr3,AM,3.319,
HBW,v0,sr3,MD,3.208,
HBW,v0,sr3,PM,3.727,
HBW,v0,sr3,NT,3.1,
HBO,ihvi,da,AM,1,
HBO,ihvi,da,MD,1,
HBO,ihvi,da,PM,1,
HBO,ihvi,da,NT,1,
HBO,ihvi,sr2,AM,2,
HBO,ihvi,sr2,MD,2,
HBO,ihvi,sr2,PM,2,
HBO,ihvi,sr2,NT,2,
HBO,ihvi,sr3,AM,3.322,
HBO,ihvi,sr3,MD,3.621,
HBO,ihvi,sr3,PM,3.488,
HBO,ihvi,sr3,NT,3.574,
HBO,ihvs,da,AM,1,
HBO,ihvs,da,MD,1,
HBO,ihvs,da,PM,1,
HBO,ihvs,da,NT,1,
HBO,ihvs,sr2,AM,2,
HBO,ihvs,sr2,MD,2,
HBO,ihvs,sr2,PM,2,
HBO,ihvs,sr2,NT,2,
HBO,ihvs,sr3,AM,3.322,
HBO,ihvs,sr3,MD,3.621,
HBO,ihvs,sr3,PM,3.488,
HBO,ihvs,sr3,NT,3.574,
HBO,ilvi,da,AM,1,
HBO,ilvi,da,MD,1,
HBO,ilvi,da,PM,1,
HBO,ilvi,da,NT,1,
HBO,ilvi,sr2,AM,2,
HBO,ilvi,sr2,MD,2,
HBO,ilvi,sr2,PM,2,
HBO,ilvi,sr2,NT,2,
HBO,ilvi,sr3,AM,3.322,
HBO,ilvi,sr3,MD,3.621,
HBO,ilvi,sr3,PM,3.488,
HBO,ilvi,sr3,NT,3.574,
HBO,ilvs,da,AM,1,
HBO,ilvs,da,MD,1,
HBO,ilvs,da,PM,1,
HBO,ilvs,da,NT,1,
HBO,ilvs,sr2,AM,2,
HBO,ilvs,sr2,MD,2,
HBO,ilvs,sr2,PM,2,
HBO,ilvs,sr2,NT,2,
HBO,ilvs,sr3,AM,3.322,
HBO,ilvs,sr3,MD,3.621,
HBO,ilvs,sr3,PM,3.488,
HBO,ilvs,sr3,NT,3.574,
HBO,v0,da,AM,1,
HBO,v0,da,MD,1,
HBO,v0,da,PM,1,
HBO,v0,da,NT,1,
HBO,v0,sr2,AM,2,
HBO,v0,sr2,MD,2,
HBO,v0,sr2,PM,2,
HBO,v0,sr2,NT,2,
HBO,v0,sr3,AM,3.322,
HBO,v0,sr3,MD,3.621,
HBO,v0,sr3,PM,3.488,
HBO,v0,sr3,NT,3.574,
HBSC,all,da,AM,1,
HBSC,all,da,MD,1,
HBSC,all,da,PM,1,
HBSC,all,da,NT,1,
HBSC,all,sr2,AM,2,
HBSC,all,sr2,MD,2,
HBSC,all,sr2,PM,2,
HBSC,all,sr2,NT,2,
HBSC,all,sr3,AM,3.468,
HBSC,all,sr3,MD,3.47,
HBSC,all,sr3,PM,3.69,
HBSC,all,sr3,NT,3.494,
NHB,all,da,AM,1,
NHB,all,da,MD,1,
NHB,all,da,PM,1,
NHB,all,da,NT,1,
NHB,all,sr2,AM,2,
NHB,all,sr2,MD,2,
NHB,all,sr2,PM,2,
NHB,all,sr2,NT,2,
NHB,all,sr3,AM,3.382,
NHB,all,sr3,MD,3.488,
NHB,all,sr3,PM,3.411,
NHB,all,sr3,NT,3.595,
sHBO,all,da,AM,1,
sHBO,all,sr2,AM,2,
sHBO,all,sr3,AM,4,
sHBO,all,da,MD,1,
sHBO,all,sr2,MD,2,
sHBO,all,sr3,MD,3.5,
sHBO,all,da,NT,1,
sHBO,all,sr2,NT,2,
sHBO,all,sr3,NT,3.703,
sHBO,all,da,PM,1,
sHBO,all,sr2,PM,2,
sHBO,all,sr3,PM,3.707,
HBU,all,da,AM,1,
HBU,all,sr2,AM,2,
HBU,all,sr3,AM,3,
HBU,all,da,MD,1,
HBU,all,sr2,MD,2,
HBU,all,sr3,MD,3,
HBU,all,da,NT,1,
HBU,all,sr2,NT,2,
HBU,all,sr3,NT,3,
HBU,all,da,PM,1,
HBU,all,sr2,PM,2,
HBU,all,sr3,PM,3,
sHBW,all,da,AM,1,
sHBW,all,sr2,AM,2,
sHBW,all,sr3,AM,3,
sHBW,all,da,MD,1,
sHBW,all,sr2,MD,2,
sHBW,all,sr3,MD,3,
sHBW,all,da,NT,1,
sHBW,all,sr2,NT,2,
sHBW,all,sr3,NT,3,
sHBW,all,da,PM,1,
sHBW,all,sr2,PM,2,
