to_field,to_desc,from_field,from_factor,description
d_HBW_v0_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBW_v0_{period},1,to_field = to_field + from_field * rate
d_HBW_ilvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBW_ilvi_{period},1,"See macro ""Field Crosswalk"" for details"
d_HBW_ilvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBW_ilvs_{period},1,
d_HBW_ihvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBW_ihvi_{period},1,This table shows the cross walk that creates fields used by the distribution models.
d_HBW_ihvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBW_ihvs_{period},1,
d_NHB_all_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,NHBW_{period},1,CREATION: this table created manually
d_NHB_all_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,NHBO_{period},1,
d_HBO_v0_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBO_v0_{period},1,"For HBO, the purposes HBSH and HBES must be combined;"
d_HBO_v0_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSH_{period},0.04,"however, they are not stratified by market. Instead, they are broken up here"
d_HBO_ilvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBO_ilvi_{period},1,using the same distribution of HBO productions and attractions.
d_HBO_ilvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSH_{period},0.17,
d_HBO_ilvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBO_ilvs_{period},1,
d_HBO_ilvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSH_{period},0.11,
d_HBO_ihvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBO_ihvi_{period},1,
d_HBO_ihvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSH_{period},0.39,
d_HBO_ihvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBO_ihvs_{period},1,
d_HBO_ihvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSH_{period},0.29,
d_HBSC_all_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSC_{period},1,
d_IEEI_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,IEEI_{period},1,
d_CV_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,CV_{period},1,
d_SUT_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,SUT_{period},1,
d_MUT_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,MUT_{period},1,
d_HBWa_v0_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBWa_v0_{period},1,
d_HBWa_ilvi_{period},,HBWa_ilvi_{period},1,
d_HBWa_ilvs_{period},,HBWa_ilvs_{period},1,
d_HBWa_ihvi_{period},,HBWa_ihvi_{period},1,
d_HBWa_ihvs_{period},,HBWa_ihvs_{period},1,
d_NHBa_all_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,NHBWa_{period},1,
d_NHBa_all_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,NHBOa_{period},1,
d_HBOa_v0_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBOa_v0_{period},1,
d_HBOa_v0_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSHa_{period},0.04,
d_HBOa_ilvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBOa_ilvi_{period},1,
d_HBOa_ilvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSHa_{period},0.17,
d_HBOa_ilvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBOa_ilvs_{period},1,
d_HBOa_ilvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSHa_{period},0.11,
d_HBOa_ihvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBOa_ihvi_{period},1,
d_HBOa_ihvi_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSHa_{period},0.39,
d_HBOa_ihvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBOa_ihvs_{period},1,
d_HBOa_ihvs_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSHa_{period},0.29,
d_HBSCa_all_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,HBSCa_{period},1,
d_IEEIa_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,IEEIa_{period},1,
d_CVa_{period},Distribution|Trips after purpose conversion|See d_purp_conversion.csv for equivalency,CVa_{period},1,
