purpose,segment,section,term,value,description
HBO,ihvi,param,max_iters,1,iters to attempt double constraint.  1 for single constraint
HBO,ihvi,param,dist_cap,20,cap on dist polynomial
HBO,ihvi,param,prod_field,d_HBO_ihvi_{period},field in SE table containing production information
HBO,ihvi,param,attr_field,d_HBOa_ihvi_{period},field in SE table containing attraction information
HBO,ihvi,coeff,logsum,0.8,coeff on mc logsum
HBO,ihvi,coeff,size,1,coeff of attraction/size term - always 1
HBO,ihvi,coeff,dist_const,1.3082,coeff of dist polynomial constant
HBO,ihvi,coeff,dist,-0.2731,coeff of dist
HBO,ihvi,coeff,dist_sq,0,coeff of dist squared
HBO,ihvi,coeff,dist_cu,0,coeff of dist cubed
HBO,ihvi,coeff,intrazonal,1.4228,coeff of intrazonal trips
HBO,ihvi,coeff,shadow_price,1,coeff of shadow price - always 1
HBO,ihvs,param,max_iters,1,NA
HBO,ihvs,param,dist_cap,20,NA
HBO,ihvs,param,prod_field,d_HBO_ihvs_{period},NA
HBO,ihvs,param,attr_field,d_HBOa_ihvs_{period},NA
HBO,ihvs,coeff,logsum,0.8,NA
HBO,ihvs,coeff,size,1,NA
HBO,ihvs,coeff,dist_const,1.3082,NA
HBO,ihvs,coeff,dist,-0.2731,NA
HBO,ihvs,coeff,dist_sq,0,NA
HBO,ihvs,coeff,dist_cu,0,NA
HBO,ihvs,coeff,intrazonal,1.4228,NA
HBO,ihvs,coeff,shadow_price,1,NA
HBO,ilvi,param,max_iters,1,NA
HBO,ilvi,param,dist_cap,20,NA
HBO,ilvi,param,prod_field,d_HBO_ilvi_{period},NA
HBO,ilvi,param,attr_field,d_HBOa_ilvi_{period},NA
HBO,ilvi,coeff,logsum,0.8,NA
HBO,ilvi,coeff,size,1,NA
HBO,ilvi,coeff,dist_const,1.3082,NA
HBO,ilvi,coeff,dist,-0.2731,NA
HBO,ilvi,coeff,dist_sq,0,NA
HBO,ilvi,coeff,dist_cu,0,NA
HBO,ilvi,coeff,intrazonal,1.4228,NA
HBO,ilvi,coeff,shadow_price,1,NA
HBO,ilvs,param,max_iters,1,NA
HBO,ilvs,param,dist_cap,20,NA
HBO,ilvs,param,prod_field,d_HBO_ilvs_{period},NA
HBO,ilvs,param,attr_field,d_HBOa_ilvs_{period},NA
HBO,ilvs,coeff,logsum,0.8,NA
HBO,ilvs,coeff,size,1,NA
HBO,ilvs,coeff,dist_const,1.3082,NA
HBO,ilvs,coeff,dist,-0.2731,NA
HBO,ilvs,coeff,dist_sq,0,NA
HBO,ilvs,coeff,dist_cu,0,NA
HBO,ilvs,coeff,intrazonal,1.4228,NA
HBO,ilvs,coeff,shadow_price,1,NA
HBO,v0,param,max_iters,1,NA
HBO,v0,param,dist_cap,20,NA
HBO,v0,param,prod_field,d_HBO_v0_{period},NA
HBO,v0,param,attr_field,d_HBOa_v0_{period},NA
HBO,v0,coeff,logsum,0.8,NA
HBO,v0,coeff,size,1,NA
HBO,v0,coeff,dist_const,1.3082,NA
HBO,v0,coeff,dist,-0.2731,NA
HBO,v0,coeff,dist_sq,0,NA
HBO,v0,coeff,dist_cu,0,NA
HBO,v0,coeff,intrazonal,1.4228,NA
HBO,v0,coeff,shadow_price,1,NA
HBW,ihvi,param,max_iters,5,NA
HBW,ihvi,param,dist_cap,17,NA
HBW,ihvi,param,prod_field,d_HBW_ihvi_{period},NA
HBW,ihvi,param,attr_field,d_HBWa_ihvi_{period},NA
HBW,ihvi,coeff,logsum,0.6,NA
HBW,ihvi,coeff,size,1,NA
HBW,ihvi,coeff,dist_const,0.7484,NA
HBW,ihvi,coeff,dist,0.395,NA
HBW,ihvi,coeff,dist_sq,-0.0958,NA
HBW,ihvi,coeff,dist_cu,0.0033,NA
HBW,ihvi,coeff,intrazonal,-0.2303,NA
HBW,ihvi,coeff,shadow_price,1,NA
HBW,ihvs,param,max_iters,5,NA
HBW,ihvs,param,dist_cap,17,NA
HBW,ihvs,param,prod_field,d_HBW_ihvs_{period},NA
HBW,ihvs,param,attr_field,d_HBWa_ihvs_{period},NA
HBW,ihvs,coeff,logsum,0.6,NA
HBW,ihvs,coeff,size,1,NA
HBW,ihvs,coeff,dist_const,0.7484,NA
HBW,ihvs,coeff,dist,0.395,NA
HBW,ihvs,coeff,dist_sq,-0.0958,NA
HBW,ihvs,coeff,dist_cu,0.0033,NA
HBW,ihvs,coeff,intrazonal,-0.2303,NA
HBW,ihvs,coeff,shadow_price,1,NA
HBW,ilvi,param,max_iters,5,NA
HBW,ilvi,param,dist_cap,17,NA
HBW,ilvi,param,prod_field,d_HBW_ilvi_{period},NA
HBW,ilvi,param,attr_field,d_HBWa_ilvi_{period},NA
HBW,ilvi,coeff,logsum,0.6,NA
HBW,ilvi,coeff,size,1,NA
HBW,ilvi,coeff,dist_const,0.7484,NA
HBW,ilvi,coeff,dist,0.395,NA
HBW,ilvi,coeff,dist_sq,-0.0958,NA
HBW,ilvi,coeff,dist_cu,0.0033,NA
HBW,ilvi,coeff,intrazonal,-0.2303,NA
HBW,ilvi,coeff,shadow_price,1,NA
HBW,ilvs,param,max_iters,5,NA
HBW,ilvs,param,dist_cap,17,NA
HBW,ilvs,param,prod_field,d_HBW_ilvs_{period},NA
HBW,ilvs,param,attr_field,d_HBWa_ilvs_{period},NA
HBW,ilvs,coeff,logsum,0.6,NA
HBW,ilvs,coeff,size,1,NA
HBW,ilvs,coeff,dist_const,0.7484,NA
HBW,ilvs,coeff,dist,0.395,NA
HBW,ilvs,coeff,dist_sq,-0.0958,NA
HBW,ilvs,coeff,dist_cu,0.0033,NA
HBW,ilvs,coeff,intrazonal,-0.2303,NA
HBW,ilvs,coeff,shadow_price,1,NA
HBW,v0,param,max_iters,5,NA
HBW,v0,param,dist_cap,17,NA
HBW,v0,param,prod_field,d_HBW_v0_{period},NA
HBW,v0,param,attr_field,d_HBWa_v0_{period},NA
HBW,v0,coeff,logsum,0.6,NA
HBW,v0,coeff,size,1,NA
HBW,v0,coeff,dist_const,0.7484,NA
HBW,v0,coeff,dist,0.395,NA
HBW,v0,coeff,dist_sq,-0.0958,NA
HBW,v0,coeff,dist_cu,0.0033,NA
HBW,v0,coeff,intrazonal,-0.2303,NA
HBW,v0,coeff,shadow_price,1,NA
NHB,all,param,max_iters,1,NA
NHB,all,param,dist_cap,13,NA
NHB,all,param,prod_field,d_NHB_all_{period},NA
NHB,all,param,attr_field,d_NHBa_all_{period},NA
NHB,all,coeff,logsum,0.8,NA
NHB,all,coeff,size,1,NA
NHB,all,coeff,dist_const,1.3182,NA
NHB,all,coeff,dist,-0.3249,NA
NHB,all,coeff,dist_sq,0,NA
NHB,all,coeff,dist_cu,0,NA
NHB,all,coeff,intrazonal,-0.0867,NA
NHB,all,coeff,shadow_price,1,NA
HBSC,all,param,max_iters,1,NA
HBSC,all,param,dist_cap,14,NA
HBSC,all,param,prod_field,d_HBSC_all_{period},NA
HBSC,all,param,attr_field,d_HBSCa_all_{period},NA
HBSC,all,coeff,logsum,0.8,NA
HBSC,all,coeff,size,1,NA
HBSC,all,coeff,dist_const,1.2546,NA
HBSC,all,coeff,dist,-0.2731,NA
HBSC,all,coeff,dist_sq,0,NA
HBSC,all,coeff,dist_cu,0,NA
HBSC,all,coeff,intrazonal,1.4228,NA
HBSC,all,coeff,intercounty,-999,NA
HBSC,all,coeff,shadow_price,1,NA
