ExtID,EERatio,GrowthRatio,AWDT2016,AWDT2017,AWDT2018,AWDT2019,AWDT2020,AWDT2021,AWDT2022,AWDT2023,AWDT2024,AWDT2025,AWDT2026,AWDT2027,AWDT2028,AWDT2029,AWDT2030,AWDT2031,AWDT2032,AWDT2033,AWDT2034,AWDT2035,AWDT2036,AWDT2037,AWDT2038,AWDT2039,AWDT2040,AWDT2041,AWDT2042,AWDT2043,AWDT2044,AWDT2045
340,0.587,1.0146,47549,48243,48948,49662,50387,51123,51869,52627,53395,54175,54965,55768,56582,57408,58246,59097,59960,60835,61723,62624,63539,64466,65408,66363,67331,68314,69312,70324,71351,72392
342,0.15,1.0094,1838,1855,1873,1890,1908,1926,1944,1962,1981,1999,2018,2037,2056,2076,2095,2115,2135,2155,2175,2196,2216,2237,2258,2279,2301,2322,2344,2366,2388,2411
345,0.533,1.0115,43522,44023,44529,45041,45559,46083,46613,47149,47691,48239,48794,49355,49923,50497,51078,51665,52259,52860,53468,54083,54705,55334,55970,56614,57265,57924,58590,59264,59945,60634
348,0.15,1.0099,751,758,766,774,781,789,797,805,813,821,829,837,845,854,862,871,879,888,897,906,915,924,933,942,951,961,970,980,990,999
349,0.15,1.0047,1887,1896,1905,1914,1923,1932,1941,1950,1959,1968,1978,1987,1996,2006,2015,2025,2034,2044,2053,2063,2073,2082,2092,2102,2112,2122,2132,2142,2152,2162
351,0.15,1.0018,13928,13953,13978,14003,14029,14054,14079,14104,14130,14155,14181,14206,14232,14257,14283,14309,14335,14360,14386,14412,14438,14464,14490,14516,14542,14568,14595,14621,14647,14674
352,0.15,1.0047,774,778,781,785,789,792,796,800,804,807,811,815,819,823,827,830,834,838,842,846,850,854,858,862,866,870,874,878,883,887
356,0.15,1.0153,744,755,767,779,791,803,815,827,840,853,866,879,893,906,920,934,949,963,978,993,1008,1023,1039,1055,1071,1088,1104,1121,1138,1156
358,0.15,1.0045,462,464,466,468,470,472,475,477,479,481,483,485,488,490,492,494,496,499,501,503,505,508,510,512,515,517,519,522,524,526
360,0.15,1.0054,2375,2388,2401,2414,2427,2440,2453,2466,2480,2493,2506,2520,2534,2547,2561,2575,2589,2603,2617,2631,2645,2659,2674,2688,2703,2717,2732,2747,2762,2776
362,0.023,1.0104,907,916,926,936,945,955,965,975,985,996,1006,1016,1027,1038,1048,1059,1070,1081,1093,1104,1116,1127,1139,1151,1163,1175,1187,1199,1212,1224
377,0.023,1.004,5215,5236,5257,5278,5299,5320,5341,5363,5384,5406,5427,5449,5471,5493,5515,5537,5559,5581,5604,5626,5648,5671,5694,5716,5739,5762,5785,5809,5832,5855
381,0.023,1.0048,176,177,178,179,179,180,181,182,183,184,185,186,186,187,188,189,190,191,192,193,194,195,196,196,197,198,199,200,201,202
384,0.023,1.0081,693,699,704,710,716,722,727,733,739,745,751,757,763,770,776,782,788,795,801,808,814,821,828,834,841,848,855,862,869,876
387,0.023,1.0079,1303,1313,1324,1334,1345,1355,1366,1377,1388,1399,1410,1421,1432,1443,1455,1466,1478,1490,1501,1513,1525,1537,1549,1562,1574,1586,1599,1611,1624,1637
390,0.023,1.0192,208,212,216,220,224,229,233,238,242,247,252,256,261,266,271,277,282,287,293,299,304,310,316,322,328,335,341,348,354,361
422,0.15,1.0047,405,407,409,411,413,415,417,419,420,422,424,426,428,430,432,435,437,439,441,443,445,447,449,451,453,455,458,460,462,464
427,0.635,1.0159,790,803,815,828,841,855,868,882,896,911,925,940,955,970,985,1001,1017,1033,1049,1066,1083,1100,1118,1136,1154,1172,1191,1209,1229,1248
428,0.525,1.0099,1800,1818,1836,1854,1872,1891,1910,1929,1948,1967,1986,2006,2026,2046,2066,2087,2107,2128,2149,2171,2192,2214,2236,2258,2280,2303,2325,2348,2372,2395
432,0.697,1.0127,5800,5874,5948,6024,6100,6178,6256,6336,6416,6498,6580,6664,6748,6834,6921,7009,7098,7188,7279,7372,7465,7560,7656,7753,7852,7951,8052,8155,8258,8363
435,0.15,1.0047,345,347,348,350,352,353,355,357,358,360,362,363,365,367,368,370,372,374,375,377,379,381,382,384,386,388,390,392,393,395
437,0.014,1.0047,228,229,230,231,232,233,235,236,237,238,239,240,241,242,243,245,246,247,248,249,250,252,253,254,255,256,258,259,260,261
439,0.014,1.0098,13206,13335,13466,13598,13731,13866,14002,14139,14278,14417,14559,14701,14846,14991,15138,15286,15436,15587,15740,15894,16050,16207,16366,16527,16689,16852,17017,17184,17352,17523
442,1.243,1.031,250,258,266,274,282,291,300,310,319,329,339,350,361,372,383,395,407,420,433,447,460,475,489,505,520,536,553,570,588,606
460,0.014,1.0047,291,292,294,295,297,298,299,301,302,304,305,306,308,309,311,312,314,315,317,318,320,321,323,324,326,327,329,330,332,333
466,1.762,1.0596,200,212,225,238,252,267,283,300,318,337,357,378,401,424,450,477,505,535,567,601,637,675,715,757,802,850,901,955,1012,1072
467,1.468,1.0352,200,207,214,222,230,238,246,255,264,273,283,293,303,314,325,336,348,360,373,386,399,414,428,443,459,475,492,509,527,545
468,0.624,1.0056,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,381,383,385,387,389,391,394,396,398,400,402,405,407,409,412
470,0.15,1.0151,509,517,524,532,540,549,557,565,574,583,591,600,609,618,628,637,647,657,667,677,687,697,708,718,729,740,752,763,774,786
