to_field,to_desc,from_field,from_factor,description
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0.00680599,to_field = to_field + from_field * from_factor
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Households,0,'to_desc' is written in the field description of the SE table
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.01300968,
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0.00572185,CREATION: This file created by Generation-ResidentAttraction.Rmd
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.00373426,
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0.0373426,
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0.0373426,
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.00445702,
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.01300968,
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0.0373426,
HBWa_v0,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0.0373426,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0.01036323,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Households,0,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.01980936,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0.00871245,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.00568602,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0.0568602,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0.0568602,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.00678654,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.01980936,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0.0568602,
HBWa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0.0568602,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0.03412374,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Households,0,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.06522768,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0.0286881,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.01872276,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0.1872276,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0.1872276,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.02234652,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.06522768,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0.1872276,
HBWa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0.1872276,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0.02778557,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Households,0,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.05311224,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0.02335955,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.01524518,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0.1524518,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0.1524518,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.01819586,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.05311224,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0.1524518,
HBWa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0.1524518,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0.10033383,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Households,0,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.19178856,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0.08435145,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.05505042,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0.5505042,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0.5505042,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.06570534,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.19178856,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0.5505042,
HBWa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0.5505042,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Households,0.0368211,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.0320529,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.0320529,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.0360264,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.0320529,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
HBOa_v0,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Households,0.15715062,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.13680018,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.13680018,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.15375888,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.13680018,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
HBOa_ilvi,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Households,0.09974501,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.08682839,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.08682839,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.09759224,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.08682839,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
HBOa_ilvs,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Households,0.36614407,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.31872973,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.31872973,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.35824168,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.31872973,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
HBOa_ihvi,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Households,0.27537707,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.23971673,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.23971673,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0.26943368,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.23971673,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
HBOa_ihvs,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,Households,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,Office,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,Retail,7.6953228,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,Service,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
HBSHa,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,Households,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,2.049908,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,Office,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,Retail,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,Service,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
HBSCa,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0.088048,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,Households,0.18666176,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.1937056,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.1937056,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,Retail,1.7961792,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.1937056,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
NHBWa,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,Ammo,0.2019455,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,Households,0.42812446,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,Industry,0.4442801,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,K12Enrollment,0,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,Office,0.4442801,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOff,0,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,RadEnrollOn,0,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,Retail,4.1196882,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,Service,0.4442801,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOff,0,
NHBOa,Generation|Daily attractions|See attr_rates.csv for rates,VTEnrollOn,0,
