avg,incH,incL,incMH,incML
0.22,0.0278,0.7294,0.0464,0.1964
0.23,0.0293,0.7200,0.0514,0.1993
0.24,0.0307,0.7110,0.0562,0.2021
0.25,0.0322,0.7018,0.0611,0.2049
0.26,0.0336,0.6928,0.0659,0.2077
0.27,0.0351,0.6840,0.0706,0.2103
0.28,0.0366,0.6751,0.0753,0.2130
0.29,0.0381,0.6665,0.0799,0.2155
0.3,0.0396,0.6579,0.0845,0.2180
0.31,0.0412,0.6493,0.0890,0.2205
0.32,0.0427,0.6409,0.0935,0.2229
0.33,0.0443,0.6325,0.0980,0.2252
0.34,0.0459,0.6243,0.1023,0.2275
0.35,0.0474,0.6161,0.1067,0.2298
0.36,0.0490,0.6081,0.1110,0.2319
0.37,0.0506,0.6001,0.1152,0.2341
0.38,0.0523,0.5922,0.1194,0.2361
0.39,0.0539,0.5843,0.1236,0.2382
0.4,0.0555,0.5767,0.1277,0.2401
0.41,0.0572,0.5690,0.1317,0.2421
0.42,0.0589,0.5615,0.1357,0.2439
0.43,0.0605,0.5541,0.1397,0.2457
0.44,0.0622,0.5467,0.1436,0.2475
0.45,0.0639,0.5394,0.1475,0.2492
0.46,0.0657,0.5321,0.1513,0.2509
0.47,0.0674,0.5250,0.1551,0.2525
0.48,0.0691,0.5181,0.1588,0.2540
0.49,0.0709,0.5110,0.1625,0.2556
0.5,0.0726,0.5042,0.1662,0.2570
0.51,0.0744,0.4975,0.1697,0.2584
0.52,0.0762,0.4907,0.1733,0.2598
0.53,0.0780,0.4841,0.1768,0.2611
0.54,0.0798,0.4775,0.1803,0.2624
0.55,0.0816,0.4711,0.1837,0.2636
0.56,0.0834,0.4647,0.1871,0.2648
0.57,0.0853,0.4584,0.1904,0.2659
0.58,0.0871,0.4522,0.1937,0.2670
0.59,0.0890,0.4460,0.1969,0.2681
0.6,0.0908,0.4400,0.2001,0.2691
0.61,0.0927,0.4340,0.2033,0.2700
0.62,0.0946,0.4281,0.2064,0.2709
0.63,0.0965,0.4222,0.2095,0.2718
0.64,0.0984,0.4165,0.2125,0.2726
0.65,0.1003,0.4108,0.2155,0.2734
0.66,0.1023,0.4051,0.2185,0.2741
0.67,0.1042,0.3996,0.2214,0.2748
0.68,0.1062,0.3941,0.2242,0.2755
0.69,0.1081,0.3887,0.2271,0.2761
0.7,0.1101,0.3834,0.2299,0.2766
0.71,0.1121,0.3782,0.2326,0.2771
0.72,0.1141,0.3730,0.2353,0.2776
0.73,0.1161,0.3678,0.2380,0.2781
0.74,0.1181,0.3628,0.2406,0.2785
0.75,0.1201,0.3579,0.2432,0.2788
0.76,0.1221,0.3531,0.2457,0.2791
0.77,0.1242,0.3482,0.2482,0.2794
0.78,0.1262,0.3434,0.2507,0.2797
0.79,0.1283,0.3387,0.2531,0.2799
0.8,0.1303,0.3342,0.2555,0.2800
0.81,0.1324,0.3295,0.2579,0.2802
0.82,0.1345,0.3250,0.2602,0.2803
0.83,0.1366,0.3206,0.2625,0.2803
0.84,0.1387,0.3163,0.2647,0.2803
0.85,0.1408,0.3120,0.2669,0.2803
0.86,0.1429,0.3077,0.2691,0.2803
0.87,0.1451,0.3035,0.2712,0.2802
0.88,0.1472,0.2995,0.2733,0.2800
0.89,0.1494,0.2954,0.2753,0.2799
0.9,0.1515,0.2915,0.2773,0.2797
0.91,0.1537,0.2875,0.2793,0.2795
0.92,0.1558,0.2837,0.2813,0.2792
0.93,0.1580,0.2799,0.2832,0.2789
0.94,0.1602,0.2762,0.2850,0.2786
0.95,0.1624,0.2725,0.2869,0.2782
0.96,0.1646,0.2689,0.2887,0.2778
0.97,0.1668,0.2653,0.2905,0.2774
0.98,0.1691,0.2618,0.2922,0.2769
0.99,0.1713,0.2584,0.2939,0.2764
1,0.1735,0.2550,0.2956,0.2759
1.01,0.1758,0.2517,0.2972,0.2753
1.02,0.1780,0.2484,0.2988,0.2748
1.03,0.1803,0.2452,0.3003,0.2742
1.04,0.1826,0.2421,0.3018,0.2735
1.05,0.1848,0.2390,0.3034,0.2728
1.06,0.1871,0.2359,0.3049,0.2721
1.07,0.1894,0.2330,0.3062,0.2714
1.08,0.1917,0.2300,0.3077,0.2706
1.09,0.1940,0.2271,0.3090,0.2699
1.1,0.1963,0.2243,0.3104,0.2690
1.11,0.1987,0.2215,0.3116,0.2682
1.12,0.2010,0.2188,0.3129,0.2673
1.13,0.2033,0.2161,0.3142,0.2664
