siz,inc,wrk,veh,weight
1,H,0,0,17
1,H,0,1,40
1,H,1,0,14
1,H,1,1,178
1,H,1,2,210
1,H,1,3,174
1,L,0,0,1068
1,L,0,1,2502
1,L,0,2,502
1,L,0,3,26
1,L,1,0,760
1,L,1,1,2786
1,L,1,2,487
1,L,1,3,146
1,MH,0,0,36
1,MH,0,1,249
1,MH,0,2,131
1,MH,0,3,18
1,MH,1,0,82
1,MH,1,1,1366
1,MH,1,2,489
1,MH,1,3,239
1,ML,0,0,103
1,ML,0,1,644
1,ML,0,2,219
1,ML,0,3,8
1,ML,1,0,66
1,ML,1,1,2078
1,ML,1,2,635
1,ML,1,3,176
2,H,0,1,11
2,H,0,2,217
2,H,0,3,109
2,H,1,1,121
2,H,1,2,342
2,H,1,3,237
2,H,2,1,152
2,H,2,2,1687
2,H,2,3,1203
2,L,0,0,506
2,L,0,1,327
2,L,0,2,344
2,L,0,3,106
2,L,1,0,84
2,L,1,1,740
2,L,1,2,439
2,L,1,3,239
2,L,2,0,227
2,L,2,1,550
2,L,2,2,1027
2,L,2,3,121
2,MH,0,1,149
2,MH,0,2,557
2,MH,0,3,117
2,MH,1,0,22
2,MH,1,1,293
2,MH,1,2,730
2,MH,1,3,532
2,MH,2,0,40
2,MH,2,1,390
2,MH,2,2,2429
2,MH,2,3,1658
2,ML,0,1,183
2,ML,0,2,565
2,ML,0,3,309
2,ML,1,0,16
2,ML,1,1,808
2,ML,1,2,916
2,ML,1,3,303
2,ML,2,0,150
2,ML,2,1,541
2,ML,2,2,1492
2,ML,2,3,569
3,H,0,3,16
3,H,1,1,31
3,H,1,2,107
3,H,1,3,30
3,H,2,1,55
3,H,2,2,457
3,H,2,3,595
3,H,3,0,15
3,H,3,2,91
3,H,3,3,656
3,L,0,0,40
3,L,0,1,100
3,L,0,2,48
3,L,0,3,32
3,L,1,0,124
3,L,1,1,323
3,L,1,2,150
3,L,1,3,7
3,L,2,0,33
3,L,2,1,210
3,L,2,2,90
3,L,2,3,152
3,L,3,0,6
3,L,3,1,83
3,L,3,2,115
3,L,3,3,232
3,MH,1,1,37
3,MH,1,2,334
3,MH,1,3,152
3,MH,2,1,41
3,MH,2,2,792
3,MH,2,3,551
3,MH,3,1,40
3,MH,3,2,206
3,MH,3,3,590
3,ML,0,1,37
3,ML,0,2,14
3,ML,1,0,115
3,ML,1,1,355
3,ML,1,2,205
3,ML,1,3,38
3,ML,2,0,13
3,ML,2,1,172
3,ML,2,2,299
3,ML,2,3,96
3,ML,3,1,103
3,ML,3,2,139
3,ML,3,3,276
4,H,1,1,36
4,H,1,2,83
4,H,1,3,178
4,H,2,1,93
4,H,2,2,892
4,H,2,3,590
4,H,3,0,81
4,H,3,2,26
4,H,3,3,614
4,L,0,0,6
4,L,0,1,100
4,L,0,2,30
4,L,0,3,139
4,L,1,1,195
4,L,1,2,102
4,L,1,3,24
4,L,2,0,46
4,L,2,1,111
4,L,2,2,104
4,L,2,3,103
4,L,3,1,91
4,L,3,2,73
4,L,3,3,439
4,MH,1,1,181
4,MH,1,2,185
4,MH,1,3,45
4,MH,2,0,19
4,MH,2,1,115
4,MH,2,2,1218
4,MH,2,3,1168
4,MH,3,1,50
4,MH,3,2,119
4,MH,3,3,969
4,ML,0,1,66
4,ML,0,2,21
4,ML,1,0,25
4,ML,1,1,112
4,ML,1,2,145
4,ML,1,3,83
4,ML,2,0,24
4,ML,2,1,142
4,ML,2,2,224
4,ML,2,3,333
4,ML,3,1,26
4,ML,3,2,57
4,ML,3,3,368
