avg,siz1,siz2,siz3,siz4
1,0.9971,0.0000,0.0015,0.0014
1.01,0.9954,0.0000,0.0018,0.0028
1.02,0.9869,0.0067,0.0022,0.0042
1.03,0.9775,0.0143,0.0027,0.0055
1.04,0.9682,0.0218,0.0031,0.0069
1.05,0.9590,0.0292,0.0036,0.0082
1.06,0.9498,0.0366,0.0041,0.0095
1.07,0.9407,0.0438,0.0047,0.0108
1.08,0.9317,0.0510,0.0052,0.0121
1.09,0.9227,0.0581,0.0059,0.0133
1.1,0.9139,0.0651,0.0065,0.0145
1.11,0.9051,0.0721,0.0071,0.0157
1.12,0.8964,0.0789,0.0078,0.0169
1.13,0.8878,0.0857,0.0085,0.0180
1.14,0.8791,0.0924,0.0093,0.0192
1.15,0.8706,0.0991,0.0100,0.0203
1.16,0.8622,0.1056,0.0108,0.0214
1.17,0.8538,0.1121,0.0116,0.0225
1.18,0.8455,0.1185,0.0125,0.0235
1.19,0.8372,0.1249,0.0133,0.0246
1.2,0.8291,0.1311,0.0142,0.0256
1.21,0.8210,0.1373,0.0151,0.0266
1.22,0.8130,0.1434,0.0160,0.0276
1.23,0.8050,0.1494,0.0170,0.0286
1.24,0.7970,0.1554,0.0180,0.0296
1.25,0.7891,0.1613,0.0190,0.0306
1.26,0.7814,0.1671,0.0200,0.0315
1.27,0.7737,0.1728,0.0210,0.0325
1.28,0.7660,0.1785,0.0221,0.0334
1.29,0.7585,0.1840,0.0232,0.0343
1.3,0.7509,0.1896,0.0243,0.0352
1.31,0.7435,0.1950,0.0254,0.0361
1.32,0.7361,0.2004,0.0265,0.0370
1.33,0.7288,0.2057,0.0277,0.0378
1.34,0.7216,0.2109,0.0288,0.0387
1.35,0.7144,0.2160,0.0300,0.0396
1.36,0.7072,0.2211,0.0313,0.0404
1.37,0.7001,0.2261,0.0325,0.0413
1.38,0.6931,0.2311,0.0337,0.0421
1.39,0.6862,0.2359,0.0350,0.0429
1.4,0.6793,0.2407,0.0363,0.0437
1.41,0.6725,0.2454,0.0376,0.0445
1.42,0.6656,0.2501,0.0389,0.0454
1.43,0.6589,0.2547,0.0402,0.0462
1.44,0.6523,0.2592,0.0415,0.0470
1.45,0.6457,0.2636,0.0429,0.0478
1.46,0.6393,0.2680,0.0442,0.0485
1.47,0.6328,0.2723,0.0456,0.0493
1.48,0.6264,0.2765,0.0470,0.0501
1.49,0.6200,0.2807,0.0484,0.0509
1.5,0.6137,0.2848,0.0498,0.0517
1.51,0.6074,0.2888,0.0513,0.0525
1.52,0.6012,0.2928,0.0527,0.0533
1.53,0.5951,0.2967,0.0542,0.0540
1.54,0.5891,0.3005,0.0556,0.0548
1.55,0.5830,0.3043,0.0571,0.0556
1.56,0.5770,0.3080,0.0586,0.0564
1.57,0.5711,0.3116,0.0601,0.0572
1.58,0.5652,0.3152,0.0616,0.0580
1.59,0.5594,0.3187,0.0631,0.0588
1.6,0.5537,0.3221,0.0646,0.0596
1.61,0.5481,0.3254,0.0661,0.0604
1.62,0.5424,0.3287,0.0677,0.0612
1.63,0.5368,0.3320,0.0692,0.0620
1.64,0.5314,0.3351,0.0707,0.0628
1.65,0.5259,0.3382,0.0723,0.0636
1.66,0.5203,0.3413,0.0739,0.0645
1.67,0.5150,0.3443,0.0754,0.0653
1.68,0.5096,0.3472,0.0770,0.0662
1.69,0.5044,0.3500,0.0786,0.0670
1.7,0.4991,0.3528,0.0802,0.0679
1.71,0.4940,0.3555,0.0818,0.0687
1.72,0.4889,0.3582,0.0833,0.0696
1.73,0.4838,0.3608,0.0849,0.0705
1.74,0.4788,0.3633,0.0865,0.0714
1.75,0.4738,0.3658,0.0881,0.0723
1.76,0.4689,0.3682,0.0897,0.0732
1.77,0.4639,0.3705,0.0914,0.0742
1.78,0.4591,0.3728,0.0930,0.0751
1.79,0.4543,0.3750,0.0946,0.0761
1.8,0.4496,0.3772,0.0962,0.0770
1.81,0.4449,0.3793,0.0978,0.0780
1.82,0.4403,0.3813,0.0994,0.0790
1.83,0.4357,0.3833,0.1010,0.0800
1.84,0.4311,0.3852,0.1026,0.0811
1.85,0.4266,0.3871,0.1042,0.0821
1.86,0.4221,0.3889,0.1058,0.0832
1.87,0.4178,0.3906,0.1074,0.0842
1.88,0.4134,0.3923,0.1090,0.0853
1.89,0.4091,0.3939,0.1106,0.0864
1.9,0.4047,0.3955,0.1122,0.0876
1.91,0.4005,0.3970,0.1138,0.0887
1.92,0.3962,0.3985,0.1154,0.0899
1.93,0.3921,0.3998,0.1170,0.0911
1.94,0.3880,0.4011,0.1186,0.0923
1.95,0.3839,0.4024,0.1202,0.0935
1.96,0.3798,0.4036,0.1218,0.0948
1.97,0.3758,0.4049,0.1233,0.0960
1.98,0.3719,0.4059,0.1249,0.0973
1.99,0.3680,0.4070,0.1264,0.0986
2,0.3641,0.4079,0.1280,0.1000
2.01,0.3603,0.4089,0.1295,0.1013
2.02,0.3565,0.4097,0.1311,0.1027
2.03,0.3527,0.4106,0.1326,0.1041
2.04,0.3490,0.4114,0.1341,0.1055
2.05,0.3453,0.4121,0.1356,0.1070
2.06,0.3417,0.4127,0.1371,0.1085
2.07,0.3381,0.4133,0.1386,0.1100
2.08,0.3345,0.4139,0.1401,0.1115
2.09,0.3310,0.4143,0.1416,0.1131
2.1,0.3275,0.4148,0.1430,0.1147
2.11,0.3240,0.4152,0.1445,0.1163
2.12,0.3206,0.4156,0.1459,0.1179
2.13,0.3172,0.4159,0.1473,0.1196
2.14,0.3138,0.4161,0.1488,0.1213
2.15,0.3105,0.4162,0.1502,0.1231
2.16,0.3072,0.4164,0.1516,0.1248
2.17,0.3040,0.4165,0.1529,0.1266
2.18,0.3008,0.4164,0.1543,0.1285
2.19,0.2976,0.4165,0.1556,0.1303
2.2,0.2944,0.4164,0.1570,0.1322
2.21,0.2913,0.4163,0.1583,0.1341
2.22,0.2882,0.4161,0.1596,0.1361
2.23,0.2852,0.4158,0.1609,0.1381
2.24,0.2822,0.4155,0.1622,0.1401
2.25,0.2792,0.4152,0.1634,0.1422
2.26,0.2762,0.4148,0.1647,0.1443
2.27,0.2733,0.4144,0.1659,0.1464
2.28,0.2704,0.4139,0.1671,0.1486
2.29,0.2675,0.4134,0.1683,0.1508
2.3,0.2647,0.4127,0.1695,0.1531
2.31,0.2619,0.4122,0.1706,0.1553
2.32,0.2591,0.4114,0.1718,0.1577
2.33,0.2563,0.4108,0.1729,0.1600
2.34,0.2536,0.4100,0.1740,0.1624
2.35,0.2509,0.4091,0.1751,0.1649
2.36,0.2482,0.4084,0.1761,0.1673
2.37,0.2456,0.4073,0.1772,0.1699
2.38,0.2430,0.4064,0.1782,0.1724
2.39,0.2404,0.4054,0.1792,0.1750
2.4,0.2378,0.4043,0.1802,0.1777
2.41,0.2353,0.4032,0.1811,0.1804
2.42,0.2328,0.4021,0.1820,0.1831
2.43,0.2303,0.4009,0.1829,0.1859
2.44,0.2278,0.3997,0.1838,0.1887
2.45,0.2254,0.3983,0.1847,0.1916
2.46,0.2230,0.3970,0.1855,0.1945
2.47,0.2206,0.3957,0.1863,0.1974
2.48,0.2182,0.3943,0.1871,0.2004
2.49,0.2159,0.3927,0.1879,0.2035
2.5,0.2135,0.3913,0.1886,0.2066
2.51,0.2112,0.3898,0.1893,0.2097
2.52,0.2090,0.3881,0.1900,0.2129
2.53,0.2067,0.3865,0.1907,0.2161
2.54,0.2045,0.3848,0.1913,0.2194
2.55,0.2023,0.3830,0.1919,0.2228
2.56,0.2001,0.3812,0.1925,0.2262
2.57,0.1979,0.3795,0.1930,0.2296
2.58,0.1957,0.3777,0.1935,0.2331
2.59,0.1936,0.3758,0.1940,0.2366
2.6,0.1915,0.3738,0.1945,0.2402
2.61,0.1894,0.3718,0.1949,0.2439
2.62,0.1873,0.3698,0.1953,0.2476
2.63,0.1852,0.3678,0.1957,0.2513
2.64,0.1832,0.3657,0.1960,0.2551
2.65,0.1812,0.3635,0.1963,0.2590
2.66,0.1792,0.3613,0.1966,0.2629
2.67,0.1772,0.3592,0.1968,0.2668
2.68,0.1752,0.3569,0.1970,0.2709
2.69,0.1732,0.3547,0.1972,0.2749
2.7,0.1713,0.3522,0.1974,0.2791
2.71,0.1694,0.3498,0.1975,0.2833
2.72,0.1674,0.3476,0.1975,0.2875
2.73,0.1655,0.3451,0.1976,0.2918
2.74,0.1636,0.3426,0.1976,0.2962
2.75,0.1618,0.3400,0.1976,0.3006
2.76,0.1599,0.3375,0.1975,0.3051
2.77,0.1581,0.3348,0.1974,0.3097
2.78,0.1562,0.3322,0.1973,0.3143
2.79,0.1544,0.3296,0.1971,0.3189
2.8,0.1526,0.3268,0.1969,0.3237
2.81,0.1508,0.3241,0.1966,0.3285
2.82,0.1490,0.3213,0.1964,0.3333
2.83,0.1472,0.3185,0.1960,0.3383
2.84,0.1455,0.3156,0.1957,0.3432
2.85,0.1437,0.3127,0.1953,0.3483
2.86,0.1420,0.3098,0.1948,0.3534
2.87,0.1403,0.3068,0.1944,0.3585
2.88,0.1385,0.3038,0.1939,0.3638
2.89,0.1368,0.3008,0.1933,0.3691
2.9,0.1351,0.2977,0.1927,0.3745
2.91,0.1334,0.2946,0.1921,0.3799
2.92,0.1317,0.2915,0.1914,0.3854
2.93,0.1300,0.2883,0.1907,0.3910
2.94,0.1284,0.2851,0.1899,0.3966
2.95,0.1267,0.2819,0.1891,0.4023
2.96,0.1250,0.2786,0.1882,0.4082
2.97,0.1234,0.2753,0.1873,0.4140
2.98,0.1217,0.2720,0.1864,0.4199
2.99,0.1201,0.2686,0.1854,0.4259
3,0.1184,0.2652,0.1844,0.4320
3.01,0.1168,0.2618,0.1833,0.4381
3.02,0.1152,0.2583,0.1822,0.4443
3.03,0.1135,0.2549,0.1811,0.4505
3.04,0.1119,0.2513,0.1798,0.4570
3.05,0.1103,0.2478,0.1786,0.4633
3.06,0.1087,0.2442,0.1773,0.4698
3.07,0.1071,0.2406,0.1759,0.4764
3.08,0.1054,0.2370,0.1745,0.4831
3.09,0.1038,0.2333,0.1731,0.4898
3.1,0.1022,0.2296,0.1716,0.4966
3.11,0.1006,0.2258,0.1701,0.5035
3.12,0.0990,0.2221,0.1685,0.5104
3.13,0.0974,0.2183,0.1668,0.5175
3.14,0.0958,0.2145,0.1652,0.5245
3.15,0.0942,0.2106,0.1634,0.5318
3.16,0.0926,0.2068,0.1616,0.5390
3.17,0.0910,0.2029,0.1598,0.5463
3.18,0.0894,0.1989,0.1579,0.5538
3.19,0.0878,0.1950,0.1560,0.5612
3.2,0.0861,0.1910,0.1540,0.5689
3.21,0.0845,0.1870,0.1519,0.5766
3.22,0.0829,0.1830,0.1498,0.5843
3.23,0.0813,0.1789,0.1477,0.5921
3.24,0.0797,0.1748,0.1455,0.6000
3.25,0.0780,0.1707,0.1432,0.6081
3.26,0.0764,0.1666,0.1409,0.6161
3.27,0.0748,0.1624,0.1385,0.6243
3.28,0.0731,0.1582,0.1361,0.6326
3.29,0.0715,0.1540,0.1336,0.6409
3.3,0.0698,0.1498,0.1311,0.6493
3.31,0.0682,0.1455,0.1285,0.6578
3.32,0.0665,0.1412,0.1258,0.6665
3.33,0.0649,0.1369,0.1231,0.6751
3.34,0.0632,0.1326,0.1204,0.6838
3.35,0.0615,0.1282,0.1175,0.6928
3.36,0.0598,0.1239,0.1147,0.7016
3.37,0.0581,0.1195,0.1117,0.7107
3.38,0.0564,0.1150,0.1087,0.7199
3.39,0.0547,0.1106,0.1057,0.7290
3.4,0.0530,0.1061,0.1026,0.7383
