avg,veh0,veh1,veh2,veh3
0,0.9410,0.0427,0.0163,0.0000
0.01,0.9321,0.0496,0.0183,0.0000
0.02,0.9233,0.0564,0.0203,0.0000
0.03,0.9146,0.0631,0.0223,0.0000
0.04,0.9059,0.0697,0.0244,0.0000
0.05,0.8973,0.0763,0.0264,0.0000
0.06,0.8887,0.0829,0.0284,0.0000
0.07,0.8803,0.0893,0.0304,0.0000
0.08,0.8719,0.0957,0.0324,0.0000
0.09,0.8637,0.1020,0.0343,0.0000
0.1,0.8554,0.1083,0.0363,0.0000
0.11,0.8472,0.1145,0.0383,0.0000
0.12,0.8391,0.1206,0.0403,0.0000
0.13,0.8310,0.1267,0.0423,0.0000
0.14,0.8231,0.1327,0.0442,0.0000
0.15,0.8151,0.1387,0.0462,0.0000
0.16,0.8073,0.1446,0.0481,0.0000
0.17,0.7995,0.1504,0.0501,0.0000
0.18,0.7918,0.1562,0.0520,0.0000
0.19,0.7841,0.1619,0.0540,0.0000
0.2,0.7766,0.1675,0.0559,0.0000
0.21,0.7690,0.1731,0.0579,0.0000
0.22,0.7609,0.1786,0.0598,0.0007
0.23,0.7527,0.1841,0.0617,0.0015
0.24,0.7446,0.1895,0.0636,0.0023
0.25,0.7366,0.1949,0.0655,0.0030
0.26,0.7287,0.2001,0.0674,0.0038
0.27,0.7206,0.2054,0.0694,0.0046
0.28,0.7128,0.2105,0.0713,0.0054
0.29,0.7051,0.2156,0.0731,0.0062
0.3,0.6973,0.2207,0.0750,0.0070
0.31,0.6896,0.2257,0.0769,0.0078
0.32,0.6821,0.2306,0.0788,0.0085
0.33,0.6745,0.2355,0.0807,0.0093
0.34,0.6671,0.2403,0.0825,0.0101
0.35,0.6596,0.2451,0.0844,0.0109
0.36,0.6523,0.2498,0.0863,0.0116
0.37,0.6451,0.2544,0.0881,0.0124
0.38,0.6378,0.2590,0.0900,0.0132
0.39,0.6307,0.2635,0.0918,0.0140
0.4,0.6236,0.2680,0.0937,0.0147
0.41,0.6166,0.2724,0.0955,0.0155
0.42,0.6097,0.2768,0.0973,0.0162
0.43,0.6027,0.2811,0.0992,0.0170
0.44,0.5958,0.2854,0.1010,0.0178
0.45,0.5891,0.2896,0.1028,0.0185
0.46,0.5824,0.2937,0.1046,0.0193
0.47,0.5758,0.2978,0.1064,0.0200
0.48,0.5691,0.3019,0.1082,0.0208
0.49,0.5626,0.3058,0.1100,0.0216
0.5,0.5561,0.3098,0.1118,0.0223
0.51,0.5496,0.3137,0.1136,0.0231
0.52,0.5433,0.3175,0.1154,0.0238
0.53,0.5370,0.3213,0.1171,0.0246
0.54,0.5308,0.3250,0.1189,0.0253
0.55,0.5247,0.3286,0.1207,0.0260
0.56,0.5185,0.3323,0.1224,0.0268
0.57,0.5125,0.3358,0.1242,0.0275
0.58,0.5065,0.3393,0.1259,0.0283
0.59,0.5005,0.3428,0.1277,0.0290
0.6,0.4946,0.3462,0.1294,0.0298
0.61,0.4887,0.3496,0.1312,0.0305
0.62,0.4830,0.3529,0.1329,0.0312
0.63,0.4773,0.3561,0.1346,0.0320
0.64,0.4717,0.3593,0.1363,0.0327
0.65,0.4661,0.3625,0.1380,0.0334
0.66,0.4604,0.3656,0.1398,0.0342
0.67,0.4549,0.3687,0.1415,0.0349
0.68,0.4495,0.3717,0.1432,0.0356
0.69,0.4443,0.3746,0.1448,0.0363
0.7,0.4389,0.3775,0.1465,0.0371
0.71,0.4336,0.3804,0.1482,0.0378
0.72,0.3831,0.4285,0.1499,0.0385
0.73,0.3776,0.4316,0.1516,0.0392
0.74,0.3722,0.4346,0.1532,0.0400
0.75,0.3668,0.4376,0.1549,0.0407
0.76,0.3616,0.4405,0.1565,0.0414
0.77,0.3563,0.4434,0.1582,0.0421
0.78,0.3512,0.4462,0.1598,0.0428
0.79,0.3461,0.4488,0.1615,0.0436
0.8,0.3410,0.4516,0.1631,0.0443
0.81,0.3361,0.4542,0.1647,0.0450
0.82,0.3312,0.4567,0.1664,0.0457
0.83,0.3263,0.4593,0.1680,0.0464
0.84,0.3215,0.4618,0.1696,0.0471
0.85,0.3168,0.4642,0.1712,0.0478
0.86,0.3121,0.4666,0.1728,0.0485
0.87,0.3075,0.4689,0.1744,0.0492
0.88,0.3030,0.4710,0.1760,0.0500
0.89,0.2985,0.4732,0.1776,0.0507
0.9,0.2941,0.4753,0.1792,0.0514
0.91,0.2897,0.4775,0.1807,0.0521
0.92,0.2854,0.4795,0.1823,0.0528
0.93,0.2811,0.4815,0.1839,0.0535
0.94,0.2769,0.4835,0.1854,0.0542
0.95,0.2728,0.4853,0.1870,0.0549
0.96,0.2687,0.4872,0.1885,0.0556
0.97,0.2647,0.4889,0.1901,0.0563
0.98,0.2607,0.4907,0.1916,0.0570
0.99,0.2568,0.4924,0.1931,0.0577
1,0.2529,0.4941,0.1946,0.0584
1.01,0.2491,0.4956,0.1962,0.0591
1.02,0.2454,0.4971,0.1977,0.0598
1.03,0.2417,0.4986,0.1992,0.0605
1.04,0.2380,0.5001,0.2007,0.0612
1.05,0.2344,0.5015,0.2022,0.0619
1.06,0.2309,0.5029,0.2037,0.0625
1.07,0.2274,0.5043,0.2051,0.0632
1.08,0.2240,0.5055,0.2066,0.0639
1.09,0.2206,0.5067,0.2081,0.0646
1.1,0.2172,0.5079,0.2096,0.0653
1.11,0.2140,0.5090,0.2110,0.0660
1.12,0.2107,0.5101,0.2125,0.0667
1.13,0.2075,0.5112,0.2139,0.0674
1.14,0.2044,0.5121,0.2154,0.0681
1.15,0.2013,0.5131,0.2168,0.0688
1.16,0.1983,0.5141,0.2182,0.0694
1.17,0.1953,0.5149,0.2197,0.0701
1.18,0.1924,0.5157,0.2211,0.0708
1.19,0.1895,0.5165,0.2225,0.0715
1.2,0.1866,0.5173,0.2239,0.0722
1.21,0.1838,0.5180,0.2253,0.0729
1.22,0.1811,0.5186,0.2267,0.0736
1.23,0.1784,0.5193,0.2281,0.0742
1.24,0.1757,0.5199,0.2295,0.0749
1.25,0.1731,0.5204,0.2309,0.0756
