avg,wrk0,wrk1,wrk2,wrk3
0,0.9979,0.0000,0.0021,0.0000
0.01,0.9909,0.0021,0.0070,0.0000
0.02,0.9804,0.0078,0.0118,0.0000
0.03,0.9701,0.0135,0.0164,0.0000
0.04,0.9598,0.0192,0.0210,0.0000
0.05,0.9497,0.0248,0.0255,0.0000
0.06,0.9397,0.0304,0.0299,0.0000
0.07,0.9298,0.0360,0.0342,0.0000
0.08,0.9200,0.0416,0.0384,0.0000
0.09,0.9102,0.0472,0.0426,0.0000
0.1,0.9007,0.0527,0.0466,0.0000
0.11,0.8912,0.0582,0.0506,0.0000
0.12,0.8819,0.0637,0.0544,0.0000
0.13,0.8726,0.0692,0.0582,0.0000
0.14,0.8634,0.0746,0.0620,0.0000
0.15,0.8544,0.0800,0.0656,0.0000
0.16,0.8454,0.0854,0.0692,0.0000
0.17,0.8366,0.0908,0.0726,0.0000
0.18,0.8278,0.0961,0.0761,0.0000
0.19,0.8192,0.1014,0.0794,0.0000
0.2,0.8107,0.1066,0.0827,0.0000
0.21,0.8022,0.1119,0.0859,0.0000
0.22,0.7939,0.1171,0.0890,0.0000
0.23,0.7856,0.1223,0.0921,0.0000
0.24,0.7775,0.1274,0.0951,0.0000
0.25,0.7695,0.1325,0.0980,0.0000
0.26,0.7615,0.1376,0.1009,0.0000
0.27,0.7537,0.1426,0.1037,0.0000
0.28,0.7459,0.1476,0.1065,0.0000
0.29,0.7382,0.1526,0.1092,0.0000
0.3,0.7307,0.1575,0.1118,0.0000
0.31,0.7232,0.1624,0.1144,0.0000
0.32,0.7158,0.1673,0.1169,0.0000
0.33,0.7085,0.1721,0.1194,0.0000
0.34,0.7012,0.1769,0.1219,0.0000
0.35,0.6941,0.1816,0.1243,0.0000
0.36,0.6870,0.1864,0.1266,0.0000
0.37,0.6801,0.1910,0.1289,0.0000
0.38,0.6732,0.1957,0.1311,0.0000
0.39,0.6665,0.2002,0.1333,0.0000
0.4,0.6597,0.2048,0.1355,0.0000
0.41,0.6531,0.2093,0.1376,0.0000
0.42,0.6466,0.2137,0.1397,0.0000
0.43,0.6400,0.2182,0.1418,0.0000
0.44,0.6337,0.2225,0.1438,0.0000
0.45,0.6273,0.2269,0.1458,0.0000
0.46,0.6212,0.2311,0.1477,0.0000
0.47,0.6150,0.2354,0.1496,0.0000
0.48,0.6089,0.2396,0.1515,0.0000
0.49,0.6029,0.2437,0.1534,0.0000
0.5,0.5970,0.2478,0.1552,0.0000
0.51,0.5912,0.2518,0.1570,0.0000
0.52,0.5854,0.2558,0.1588,0.0000
