siz,veh,purpose,rate
1,0,HBO,0.60408
1,0,HBSC,0
1,0,HBSH,0.86572
1,0,NHBO,0.40576
2,0,HBO,1.22345
2,0,HBSC,0.02879
2,0,HBSH,1.08307
2,0,NHBO,0.82511
3,0,HBO,1.42856
3,0,HBSC,0.45505
3,0,HBSH,1.15767
3,0,NHBO,0.94257
4,0,HBO,1.55404
4,0,HBSC,1.0697
4,0,HBSH,1.27832
4,0,NHBO,1.17846
1,1,HBO,0.86309
1,1,HBSC,0
1,1,HBSH,0.86572
1,1,NHBO,0.98625
2,1,HBO,1.55645
2,1,HBSC,0.02879
2,1,HBSH,1.33634
2,1,NHBO,1.50268
3,1,HBO,2.02379
3,1,HBSC,0.45505
3,1,HBSH,1.44042
3,1,NHBO,1.5318
4,1,HBO,2.15893
4,1,HBSC,1.0697
4,1,HBSH,1.54357
4,1,NHBO,1.76768
1,2,HBO,0.86309
1,2,HBSC,0
1,2,HBSH,0.86572
1,2,NHBO,0.98625
2,2,HBO,1.81305
2,2,HBSC,0.02879
2,2,HBSH,1.41739
2,2,NHBO,1.50268
3,2,HBO,2.23293
3,2,HBSC,0.56834
3,2,HBSH,1.54357
3,2,NHBO,1.65023
4,2,HBO,2.59007
4,2,HBSC,1.17486
4,2,HBSH,1.64027
4,2,NHBO,2.32876
1,3,HBO,0.86309
1,3,HBSC,0
1,3,HBSH,0.86572
1,3,NHBO,0.98625
2,3,HBO,1.81305
2,3,HBSC,0.02879
2,3,HBSH,1.41739
2,3,NHBO,1.50268
3,3,HBO,2.67694
3,3,HBSC,0.56834
3,3,HBSH,1.73697
3,3,NHBO,1.82787
4,3,HBO,2.98904
4,3,HBSC,1.32695
4,3,HBSH,1.89906
4,3,NHBO,2.4336
