purpose,segment,section,term,value,description
default,default,nest_coeff,auto,0.7,This file lists coefficients for the mode choice model by purpose and
default,default,nest_coeff,transit,0.7,segment. MC nesting structure can be viewed in the template.mdl file.
default,default,nest_coeff,nonmotorized,0.7,
default,default,nest_coeff,sr,0.7,
default,default,nest_coeff,walk_acc,0.7,CREATION: Created manually. Coefficients borrowed from Hartford CT
default,default,nest_coeff,pnr_acc,0.7,
default,default,nest_coeff,knr_acc,0.7,
HBW,v0,asc,da,-999,Alternative-specific constants
HBW,v0,asc,sr2,0,
HBW,v0,asc,sr3,-1.83471,During calibration ASCs of -999 and 0 are not modified.
HBW,v0,asc,walk,1.692374,0: sets the reference alternatives
HBW,v0,asc,bike,-0.111661,-999: effectively turns off an alternative
HBW,v0,asc,w_lb,-5.292398,
HBW,v0,asc,pnr_lb,-5.292398,
HBW,v0,asc,knr_lb,-5.292398,
HBW,v0,asc,w_eb,-5.292398,
HBW,v0,asc,pnr_eb,-5.292398,
HBW,v0,asc,knr_eb,-5.292398,
HBW,v0,asc,w_brt,0.1,
HBW,v0,asc,pnr_brt,0.1,
HBW,v0,asc,knr_brt,0.1,
HBW,v0,asc,w_cr,0.1,
HBW,v0,asc,pnr_cr,0.1,
HBW,v0,asc,knr_cr,0.1,
HBW,v0,coeff,auto_op_cost,-0.16315,Coefficients on utility terms
HBW,v0,coeff,ivt_drive,-0.025,
HBW,v0,coeff,nm_time1,-0.0625,
HBW,v0,coeff,nm_time2,-0.09375,
HBW,v0,coeff,fare,-0.423,
HBW,v0,coeff,ivt_transit,-0.025,
HBW,v0,coeff,dwell_time,-0.025,
HBW,v0,coeff,initial_wait1,-0.05625,
HBW,v0,coeff,initial_wait2,-0.025,
HBW,v0,coeff,xfer_wait_time,-0.0625,
HBW,v0,coeff,access_walk_time,-0.0625,
HBW,v0,coeff,egress_walk_time,-0.0625,
HBW,v0,coeff,access_drive_time,-0.05625,
HBW,v0,coeff,egress_drive_time,-0.05625,
HBW,v0,coeff,xfer_walk_time,-0.0625,
HBW,ilvi,asc,da,0,
HBW,ilvi,asc,sr2,-1.54361,
HBW,ilvi,asc,sr3,-1.83471,
HBW,ilvi,asc,walk,1.692374,
HBW,ilvi,asc,bike,-0.111661,
HBW,ilvi,asc,w_lb,-5.292398,
HBW,ilvi,asc,pnr_lb,-5.292398,
HBW,ilvi,asc,knr_lb,-5.292398,
HBW,ilvi,asc,w_eb,-5.292398,
HBW,ilvi,asc,pnr_eb,-5.292398,
HBW,ilvi,asc,knr_eb,-5.292398,
HBW,ilvi,asc,w_brt,0.1,
HBW,ilvi,asc,pnr_brt,0.1,
HBW,ilvi,asc,knr_brt,0.1,
HBW,ilvi,asc,w_cr,0.1,
HBW,ilvi,asc,pnr_cr,0.1,
HBW,ilvi,asc,knr_cr,0.1,
HBW,ilvi,coeff,auto_op_cost,-0.16315,
HBW,ilvi,coeff,ivt_drive,-0.025,
HBW,ilvi,coeff,nm_time1,-0.0625,
HBW,ilvi,coeff,nm_time2,-0.09375,
HBW,ilvi,coeff,fare,-0.228,
HBW,ilvi,coeff,ivt_transit,-0.025,
HBW,ilvi,coeff,dwell_time,-0.025,
HBW,ilvi,coeff,initial_wait1,-0.05625,
HBW,ilvi,coeff,initial_wait2,-0.025,
HBW,ilvi,coeff,xfer_wait_time,-0.0625,
HBW,ilvi,coeff,access_walk_time,-0.0625,
HBW,ilvi,coeff,egress_walk_time,-0.0625,
HBW,ilvi,coeff,access_drive_time,-0.05625,
HBW,ilvi,coeff,egress_drive_time,-0.05625,
HBW,ilvi,coeff,xfer_walk_time,-0.0625,
HBW,ilvs,asc,da,0,
HBW,ilvs,asc,sr2,-1.54361,
HBW,ilvs,asc,sr3,-1.83471,
HBW,ilvs,asc,walk,1.692374,
HBW,ilvs,asc,bike,-0.111661,
HBW,ilvs,asc,w_lb,-5.292398,
HBW,ilvs,asc,pnr_lb,-5.292398,
HBW,ilvs,asc,knr_lb,-5.292398,
HBW,ilvs,asc,w_eb,-5.292398,
HBW,ilvs,asc,pnr_eb,-5.292398,
HBW,ilvs,asc,knr_eb,-5.292398,
HBW,ilvs,asc,w_brt,0.1,
HBW,ilvs,asc,pnr_brt,0.1,
HBW,ilvs,asc,knr_brt,0.1,
HBW,ilvs,asc,w_cr,0.1,
HBW,ilvs,asc,pnr_cr,0.1,
