alternative,variable,source,type
da,auto_op_cost,hwy_skim.da_dist_cost,Matrix
da,ivt_drive,hwy_skim.da_time,Matrix
sr2,auto_op_cost,hwy_skim.sr2_dist_cost,Matrix
sr2,ivt_drive,hwy_skim.sr2_time,Matrix
sr3,auto_op_cost,hwy_skim.sr3_dist_cost,Matrix
sr3,ivt_drive,hwy_skim.sr3_time,Matrix
w_lb,fare,trn_skim.w_lb_fare,Matrix
w_lb,ivt_transit,trn_skim.w_lb_ivt_transit,Matrix
w_lb,dwell_time,trn_skim.w_lb_dwell_time,Matrix
w_lb,initial_wait1,trn_skim.w_lb_initial_wait1,Matrix
w_lb,initial_wait2,trn_skim.w_lb_initial_wait2,Matrix
w_lb,xfer_wait_time,trn_skim.w_lb_xfer_wait_time,Matrix
w_lb,xfer_walk_time,trn_skim.w_lb_xfer_walk_time,Matrix
w_lb,access_walk_time,trn_skim.w_lb_access_walk_time,Matrix
w_lb,egress_walk_time,trn_skim.w_lb_egress_walk_time,Matrix
w_lb,access_drive_time,trn_skim.w_lb_access_drive_time,Matrix
w_lb,egress_drive_time,trn_skim.w_lb_egress_drive_time,Matrix
w_eb,fare,trn_skim.w_eb_fare,Matrix
w_eb,ivt_transit,trn_skim.w_eb_ivt_transit,Matrix
w_eb,dwell_time,trn_skim.w_eb_dwell_time,Matrix
w_eb,initial_wait1,trn_skim.w_eb_initial_wait1,Matrix
w_eb,initial_wait2,trn_skim.w_eb_initial_wait2,Matrix
w_eb,xfer_wait_time,trn_skim.w_eb_xfer_wait_time,Matrix
w_eb,xfer_walk_time,trn_skim.w_eb_xfer_walk_time,Matrix
w_eb,access_walk_time,trn_skim.w_eb_access_walk_time,Matrix
w_eb,egress_walk_time,trn_skim.w_eb_egress_walk_time,Matrix
w_eb,access_drive_time,trn_skim.w_eb_access_drive_time,Matrix
w_eb,egress_drive_time,trn_skim.w_eb_egress_drive_time,Matrix
w_brt,fare,trn_skim.w_brt_fare,Matrix
w_brt,ivt_transit,trn_skim.w_brt_ivt_transit,Matrix
w_brt,dwell_time,trn_skim.w_brt_dwell_time,Matrix
w_brt,initial_wait1,trn_skim.w_brt_initial_wait1,Matrix
w_brt,initial_wait2,trn_skim.w_brt_initial_wait2,Matrix
w_brt,xfer_wait_time,trn_skim.w_brt_xfer_wait_time,Matrix
w_brt,xfer_walk_time,trn_skim.w_brt_xfer_walk_time,Matrix
w_brt,access_walk_time,trn_skim.w_brt_access_walk_time,Matrix
w_brt,egress_walk_time,trn_skim.w_brt_egress_walk_time,Matrix
w_brt,access_drive_time,trn_skim.w_brt_access_drive_time,Matrix
w_brt,egress_drive_time,trn_skim.w_brt_egress_drive_time,Matrix
w_cr,fare,trn_skim.w_cr_fare,Matrix
w_cr,ivt_transit,trn_skim.w_cr_ivt_transit,Matrix
w_cr,dwell_time,trn_skim.w_cr_dwell_time,Matrix
w_cr,initial_wait1,trn_skim.w_cr_initial_wait1,Matrix
w_cr,initial_wait2,trn_skim.w_cr_initial_wait2,Matrix
w_cr,xfer_wait_time,trn_skim.w_cr_xfer_wait_time,Matrix
w_cr,xfer_walk_time,trn_skim.w_cr_xfer_walk_time,Matrix
w_cr,access_walk_time,trn_skim.w_cr_access_walk_time,Matrix
w_cr,egress_walk_time,trn_skim.w_cr_egress_walk_time,Matrix
w_cr,access_drive_time,trn_skim.w_cr_access_drive_time,Matrix
w_cr,egress_drive_time,trn_skim.w_cr_egress_drive_time,Matrix
pnr_lb,fare,trn_skim.pnr_lb_fare,Matrix
pnr_lb,ivt_transit,trn_skim.pnr_lb_ivt_transit,Matrix
pnr_lb,dwell_time,trn_skim.pnr_lb_dwell_time,Matrix
pnr_lb,initial_wait1,trn_skim.pnr_lb_initial_wait1,Matrix
pnr_lb,initial_wait2,trn_skim.pnr_lb_initial_wait2,Matrix
pnr_lb,xfer_wait_time,trn_skim.pnr_lb_xfer_wait_time,Matrix
pnr_lb,xfer_walk_time,trn_skim.pnr_lb_xfer_walk_time,Matrix
pnr_lb,access_walk_time,trn_skim.pnr_lb_access_walk_time,Matrix
pnr_lb,egress_walk_time,trn_skim.pnr_lb_egress_walk_time,Matrix
pnr_lb,access_drive_time,trn_skim.pnr_lb_access_drive_time,Matrix
pnr_lb,egress_drive_time,trn_skim.pnr_lb_egress_drive_time,Matrix
pnr_eb,fare,trn_skim.pnr_eb_fare,Matrix
pnr_eb,ivt_transit,trn_skim.pnr_eb_ivt_transit,Matrix
pnr_eb,dwell_time,trn_skim.pnr_eb_dwell_time,Matrix
pnr_eb,initial_wait1,trn_skim.pnr_eb_initial_wait1,Matrix
pnr_eb,initial_wait2,trn_skim.pnr_eb_initial_wait2,Matrix
pnr_eb,xfer_wait_time,trn_skim.pnr_eb_xfer_wait_time,Matrix
pnr_eb,xfer_walk_time,trn_skim.pnr_eb_xfer_walk_time,Matrix
pnr_eb,access_walk_time,trn_skim.pnr_eb_access_walk_time,Matrix
pnr_eb,egress_walk_time,trn_skim.pnr_eb_egress_walk_time,Matrix
pnr_eb,access_drive_time,trn_skim.pnr_eb_access_drive_time,Matrix
pnr_eb,egress_drive_time,trn_skim.pnr_eb_egress_drive_time,Matrix
pnr_brt,fare,trn_skim.pnr_brt_fare,Matrix
pnr_brt,ivt_transit,trn_skim.pnr_brt_ivt_transit,Matrix
pnr_brt,dwell_time,trn_skim.pnr_brt_dwell_time,Matrix
pnr_brt,initial_wait1,trn_skim.pnr_brt_initial_wait1,Matrix
pnr_brt,initial_wait2,trn_skim.pnr_brt_initial_wait2,Matrix
pnr_brt,xfer_wait_time,trn_skim.pnr_brt_xfer_wait_time,Matrix
pnr_brt,xfer_walk_time,trn_skim.pnr_brt_xfer_walk_time,Matrix
pnr_brt,access_walk_time,trn_skim.pnr_brt_access_walk_time,Matrix
pnr_brt,egress_walk_time,trn_skim.pnr_brt_egress_walk_time,Matrix
pnr_brt,access_drive_time,trn_skim.pnr_brt_access_drive_time,Matrix
pnr_brt,egress_drive_time,trn_skim.pnr_brt_egress_drive_time,Matrix
pnr_cr,fare,trn_skim.pnr_cr_fare,Matrix
pnr_cr,ivt_transit,trn_skim.pnr_cr_ivt_transit,Matrix
