AreaType,HCMType,ModifyPosted,Alpha
Urban,Freeway,2,10
Urban,MLHighway,0,8
Urban,TLHighway,0,6
Urban,PrArterial,-3,6
Urban,MinArterial,-5,6
Urban,Collector,-5,4
Urban,Local,-6,2
Urban,CC,0,10
Suburban,Freeway,3,10
Suburban,MLHighway,3,8
Suburban,TLHighway,3,6
Suburban,PrArterial,-2,6
Suburban,MinArterial,-3,6
Suburban,Collector,-3,4
Suburban,Local,-4,2
Suburban,CC,0,10
Rural,Freeway,7,10
Rural,MLHighway,5,8
Rural,TLHighway,5,6
Rural,PrArterial,0,6
Rural,MinArterial,0,6
Rural,Collector,3,4
Rural,Local,0,2
Rural,CC,0,10
