HCMType,AreaType,capd_phpl,cape_phpl
Freeway,Urban,1800,2000
Freeway,Suburban,1800,2000
Freeway,Rural,1800,2000
Freeway,Urban,1710,1900
Freeway,Suburban,1445,1700
Freeway,Rural,1530,1800
MLHighway,Urban,1440,1600
MLHighway,Suburban,1148,1350
MLHighway,Rural,1105,1300
TLHighway,Urban,1140,1200
TLHighway,Suburban,990,1100
TLHighway,Rural,900,1000
PrArterial,Urban,1440,1600
PrArterial,Suburban,1148,1350
PrArterial,Rural,1105,1300
MinArterial,Urban,1140,1200
MinArterial,Suburban,990,1100
MinArterial,Rural,900,1000
Collector,Urban,998,1050
Collector,Suburban,743,825
Collector,Rural,630,700
Local,Urban,903,950
Local,Suburban,495,550
Local,Rural,450,500
CC,Urban,10000,10000
CC,Suburban,10000,10000
CC,Rural,10000,10000
