Period,AreaType,HCMType,ModifyPosted
AM,Rural,CC,0.0
AM,Rural,Collector,-2.104551381243482
AM,Rural,Freeway,4.828809226216379
AM,Rural,Local,-3.5975712506840196
AM,Rural,MinArterial,-2.9346558153252857
AM,Rural,MLHighway,2.3561515956374635
AM,Rural,PrArterial,0.9027045412679726
AM,Rural,TLHighway,2.4120794905635137
AM,Suburban,CC,0.0
AM,Suburban,Collector,-5.891370734239629
AM,Suburban,Freeway,4.367813853926869
AM,Suburban,Local,-7.886764417116304
AM,Suburban,MinArterial,-5.183983083229315
AM,Suburban,MLHighway,-0.37311603511937363
AM,Suburban,PrArterial,-7.686175926821939
AM,Suburban,TLHighway,3.9467876490700746
AM,Urban,CC,0.0
AM,Urban,Collector,-8.056936954523717
AM,Urban,Freeway,1.3233882691004553
AM,Urban,Local,-8.859704695194818
AM,Urban,MinArterial,-6.425543403128586
AM,Urban,MLHighway,-1.5285003367506818
AM,Urban,PrArterial,-4.817435996875808
AM,Urban,TLHighway,-3.609529480536814
MD,Rural,CC,0.0
MD,Rural,Collector,-2.0445569189837514
MD,Rural,Freeway,4.803873877283003
MD,Rural,Local,-3.2281323782100984
MD,Rural,MinArterial,-1.423800623806585
MD,Rural,MLHighway,4.0277956600778
MD,Rural,PrArterial,1.7867079218723347
MD,Rural,TLHighway,2.1415944941264584
MD,Suburban,CC,0.0
MD,Suburban,Collector,-5.332257655511157
MD,Suburban,Freeway,4.034718834014896
MD,Suburban,Local,-6.948006597165374
MD,Suburban,MinArterial,-4.242289163313693
MD,Suburban,MLHighway,0.548511040299978
MD,Suburban,PrArterial,-4.446364908267597
MD,Suburban,TLHighway,4.1681073933837425
MD,Urban,CC,0.0
MD,Urban,Collector,-7.712462048336008
MD,Urban,Freeway,1.2717846418440217
MD,Urban,Local,-8.109096148154471
MD,Urban,MinArterial,-6.316766353523626
MD,Urban,MLHighway,-1.0778531272468683
MD,Urban,PrArterial,-4.503168919053806
MD,Urban,TLHighway,-3.2066549456222617
NT,Rural,CC,0.0
NT,Rural,Collector,-2.7364195389758734
NT,Rural,Freeway,3.98998588867795
NT,Rural,Local,-4.2331954089302
NT,Rural,MinArterial,-2.6454368756796214
NT,Rural,MLHighway,3.7722366267106224
NT,Rural,PrArterial,0.9768075104763057
NT,Rural,TLHighway,0.3472415024402551
NT,Suburban,CC,0.0
NT,Suburban,Collector,-5.81791198007307
NT,Suburban,Freeway,3.2368421073182674
NT,Suburban,Local,-7.790815285960186
NT,Suburban,MinArterial,-4.507459650779047
NT,Suburban,MLHighway,0.04078097041165307
NT,Suburban,PrArterial,-5.048395046934068
NT,Suburban,TLHighway,3.526035910699882
NT,Urban,CC,0.0
NT,Urban,Collector,-8.170480617218633
NT,Urban,Freeway,0.6277406163137584
NT,Urban,Local,-8.310068430907833
NT,Urban,MinArterial,-6.221378003612848
NT,Urban,MLHighway,-1.3808045732207077
NT,Urban,PrArterial,-4.70682551812849
NT,Urban,TLHighway,-3.5718279369125554
PM,Rural,CC,0.0
PM,Rural,Collector,-4.111962376008307
PM,Rural,Freeway,0.9381741290617285
PM,Rural,Local,-5.909279523101354
PM,Rural,MinArterial,-5.212627925937859
PM,Rural,MLHighway,-0.3370317293332974
PM,Rural,PrArterial,-1.8978138740164852
PM,Rural,TLHighway,-4.390495946178653
PM,Suburban,CC,0.0
PM,Suburban,Collector,-7.1062807887602375
PM,Suburban,Freeway,1.6149978568945471
PM,Suburban,Local,-9.12589124164382
PM,Suburban,MinArterial,-5.863933879139545
PM,Suburban,MLHighway,-3.670840066580176
PM,Suburban,PrArterial,-9.16573552563387
PM,Suburban,TLHighway,1.903265860025698
PM,Urban,CC,0.0
PM,Urban,Collector,-9.968036858396921
PM,Urban,Freeway,-2.622450163868578
PM,Urban,Local,-9.838232502347427
PM,Urban,MinArterial,-7.144257873769181
PM,Urban,MLHighway,-3.189782512728179
PM,Urban,PrArterial,-6.296815944171719
PM,Urban,TLHighway,-4.807001213922298
