to_field,to_desc,from_field,from_factor,Period,Description
CV_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,CV,0.081,AM,Used by 'Field Crosswalk' macro
CV_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,CV,0.481,MD,to_field = to_field + from_field * from_factor
CV_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,CV,0.089,PM,The 'to_desc' gets placed in the TC field description
CV_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,CV,0.349,NT,
CVa_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,CVa,0.081,AM,Non-resident purposes use HBO factors
CVa_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,CVa,0.481,MD,'Period' column included to facilitate manual summary/review
CVa_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,CVa,0.089,PM,
CVa_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,CVa,0.349,NT,CREATION: table created by TimeOfDay.Rmd and University.Rmd
HBO_ihvi_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ihvi,0.081,AM,
HBO_ihvi_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ihvi,0.481,MD,
HBO_ihvi_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ihvi,0.089,PM,
HBO_ihvi_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ihvi,0.349,NT,
HBO_ihvs_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ihvs,0.081,AM,
HBO_ihvs_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ihvs,0.481,MD,
HBO_ihvs_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ihvs,0.089,PM,
HBO_ihvs_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ihvs,0.349,NT,
HBO_ilvi_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ilvi,0.081,AM,
HBO_ilvi_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ilvi,0.481,MD,
HBO_ilvi_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ilvi,0.089,PM,
HBO_ilvi_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ilvi,0.349,NT,
HBO_ilvs_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ilvs,0.081,AM,
HBO_ilvs_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ilvs,0.481,MD,
HBO_ilvs_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ilvs,0.089,PM,
HBO_ilvs_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_ilvs,0.349,NT,
HBO_v0_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_v0,0.081,AM,
HBO_v0_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_v0,0.481,MD,
HBO_v0_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_v0,0.089,PM,
HBO_v0_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBO_v0,0.349,NT,
HBOa_ihvi_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ihvi,0.081,AM,
HBOa_ihvi_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ihvi,0.481,MD,
HBOa_ihvi_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ihvi,0.089,PM,
HBOa_ihvi_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ihvi,0.349,NT,
HBOa_ihvs_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ihvs,0.081,AM,
HBOa_ihvs_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ihvs,0.481,MD,
HBOa_ihvs_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ihvs,0.089,PM,
HBOa_ihvs_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ihvs,0.349,NT,
HBOa_ilvi_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ilvi,0.081,AM,
HBOa_ilvi_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ilvi,0.481,MD,
HBOa_ilvi_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ilvi,0.089,PM,
HBOa_ilvi_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ilvi,0.349,NT,
HBOa_ilvs_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ilvs,0.081,AM,
HBOa_ilvs_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ilvs,0.481,MD,
HBOa_ilvs_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ilvs,0.089,PM,
HBOa_ilvs_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_ilvs,0.349,NT,
HBOa_v0_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_v0,0.081,AM,
HBOa_v0_MD,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_v0,0.481,MD,
HBOa_v0_PM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_v0,0.089,PM,
HBOa_v0_NT,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBOa_v0,0.349,NT,
HBSC_AM,Time of Day|Generation fields split into time period|See time_of_day_factors.csv for rates,HBSC,0.383,AM,
